Dataset,Duration,Speakers,Overlapping Speech,SNR,File
Earnings,66.841,13,0,41,4366429
Earnings,34.314,7,0,34,4389907
Earnings,29.3,6,0,28,4394084
Earnings,78.49,20,0,39,4346923
Earnings,95.677,15,0,48,4341191
Earnings,81.45,13,0,46,4359732
Earnings,63.252,18,0,43,4382825
Earnings,66.2,15,0,35,4346818
Earnings,67.043,15,0,34,4384964
Earnings,45.349,7,0,41,4344338
Earnings,21.836,6,0,26,4387332
Earnings,23.967,6,0,43,4392809
Earnings,52.922,11,0,43,4367535
Earnings,54.764,10,0,59,4320211
Earnings,41.983,6,0,40,4365948
Earnings,74.546,15,0,45,4397829
Earnings,50.83,19,0,46,4385939
Earnings,42.666,10,0,44,4385072
Earnings,39.439,9,0,37,4366893
Earnings,72.433,12,0,42,4385388
Earnings,18.285,5,0,49,4386541
Earnings,30.296,5,0,21,4366522
Earnings,43.939,9,0,41,4384198
Earnings,93.12,15,0,45,4363614
Earnings,59.917,15,0,43,4366302
Earnings,72.145,13,0,39,4365024
Earnings,57.869,10,0,35,4375653
Earnings,62.665,10,0,28,4359971
Earnings,58.433,6,0,35,4364366
Earnings,40.981,8,0,50,4330115
Earnings,59.916,9,0,38,4360674
Earnings,56.278,11,0,34,4383161
Earnings,54.533,9,0,33,4384744
Earnings,46.194,9,0,36,4397800
Earnings,36.043,5,0,53,4387865
Earnings,75.188,15,0,48,4360717
Earnings,54.59,10,0,32,4344866
Earnings,24.612,9,0,28,4384683
Earnings,65.112,15,0,26,4360366
Earnings,73.524,12,0,38,4361631
Earnings,33.808,2,0,40,4374910
Earnings,28.68,7,0,48,4367318
Earnings,70.366,15,0,41,4368670
Earnings,35.968,10,0,26,4387383
