Dataset,Duration,Speakers,Overlapping Speech,SNR,File
MSD Few,0.418,2,0,13,02215
MSD Few,0.364,3,11,6,00540
MSD Few,0.885,2,4,1,00369
MSD Few,0.361,3,0,4,00708
MSD Few,0.844,2,6,5,02564
MSD Few,1.047,3,1,4,01927
MSD Few,1.025,2,5,28,02832
MSD Few,1.628,4,3,8,02021
MSD Few,0.471,4,35,0,00949
MSD Few,0.603,2,7,8,01197
MSD Few,0.39,3,0,29,02891
MSD Few,0.558,2,10,15,01527
MSD Few,0.375,2,0,13,02432
MSD Few,1.995,4,13,12,00706
MSD Few,0.796,2,0,6,02053
MSD Few,1.201,2,4,8,00598
MSD Few,1.632,2,3,27,02759
MSD Few,0.611,3,18,10,00996
MSD Few,0.382,3,48,-1,00535
MSD Few,1.911,3,4,14,00947
MSD Few,0.454,4,6,1,00991
MSD Few,0.986,2,1,14,02606
MSD Few,0.362,4,4,16,00532
MSD Few,18.73,2,10,7,02722
MSD Few,0.467,4,7,10,00864
MSD Few,0.543,2,8,6,01520
MSD Few,0.557,2,0,10,00701
MSD Few,1.369,3,13,11,01019
MSD Few,0.459,2,0,18,00329
MSD Few,0.348,2,10,14,00799
MSD Few,1.069,3,4,10,02252
MSD Few,0.642,2,9,20,01726
MSD Few,0.457,3,6,34,00734
MSD Few,1.171,4,17,5,02061
MSD Few,2.338,3,4,23,01967
MSD Few,0.682,2,1,10,00423
MSD Few,1.002,2,0,18,02589
MSD Few,0.38,2,8,11,01264
MSD Few,0.678,3,3,30,00856
MSD Few,0.402,2,16,2,00972
MSD Few,1.06,2,0,19,01086
MSD Few,1.324,2,5,20,02227
MSD Few,0.512,2,1,4,00572
MSD Few,0.51,2,0,5,01912
MSD Few,2.425,2,3,15,00619
MSD Few,0.422,3,28,9,01567
MSD Few,2.724,2,1,33,01211
MSD Few,0.535,4,12,9,01398
MSD Few,0.356,3,4,21,02641
MSD Few,14.143,2,3,15,01443
MSD Few,0.637,2,0,36,01661
MSD Few,0.372,2,10,12,01452
MSD Few,1.144,3,1,15,01324
MSD Few,0.432,3,11,6,02596
MSD Few,0.384,3,9,6,02650
MSD Few,0.58,4,7,10,01034
MSD Few,0.958,3,5,24,01827
MSD Few,0.346,2,4,12,00215
MSD Few,0.634,3,4,19,01484
MSD Few,0.487,2,14,15,01429
MSD Few,0.654,2,11,13,02773
MSD Few,1.745,2,7,25,02005
MSD Few,0.952,2,4,1,02464
MSD Few,0.408,2,0,21,02238
MSD Few,1.089,2,21,7,02864
MSD Few,2.693,4,5,12,02153
MSD Few,0.539,2,2,8,02532
MSD Few,0.703,2,3,13,02295
MSD Few,0.63,2,10,13,01855
MSD Few,0.488,2,7,14,01380
MSD Few,2.062,2,2,4,02991
MSD Few,2.029,3,5,19,00449
MSD Few,0.639,3,2,2,00028
MSD Few,3.927,2,5,5,02535
MSD Few,3.387,2,7,13,01356
MSD Few,0.603,2,0,17,00177
MSD Few,1.266,2,11,20,03062
MSD Few,0.368,2,8,5,02622
MSD Few,0.346,2,5,5,00788
MSD Few,0.53,4,10,2,00053
MSD Few,1.693,3,7,17,01976
MSD Few,0.942,2,0,25,00142
MSD Few,0.521,2,9,8,00284
MSD Few,0.765,3,0,0,02972
MSD Few,0.35,2,0,2,00980
MSD Few,0.749,2,11,11,02161
MSD Few,0.479,4,22,8,00809
MSD Few,0.648,3,0,20,02383
MSD Few,0.947,2,0,8,02856
MSD Few,0.339,2,0,9,01296
MSD Few,1.017,2,3,16,01943
MSD Few,0.42,3,0,7,00066
MSD Few,0.37,3,25,10,00407
MSD Few,0.577,2,0,16,01536
MSD Few,3.024,4,21,3,01157
MSD Few,0.824,2,0,43,02093
MSD Few,0.411,3,0,21,01240
MSD Few,1.42,2,9,14,00872
MSD Few,0.605,2,0,9,02271
MSD Few,1.035,2,6,10,01777
MSD Few,0.414,3,8,5,03022
MSD Few,1.495,2,2,35,02662
MSD Few,0.405,2,21,4,00641
MSD Few,1.134,4,8,14,00378
MSD Few,0.465,3,3,12,00719
MSD Few,0.393,4,0,2,02509
MSD Few,1.075,2,13,12,02823
MSD Few,0.541,2,0,39,02451
MSD Few,0.709,2,3,8,02619
MSD Few,0.601,2,0,9,01543
MSD Few,0.472,3,1,6,00762
MSD Few,0.56,2,5,0,00475
MSD Few,0.484,2,0,27,00551
MSD Few,0.645,2,0,18,00227
MSD Few,0.951,2,0,9,00481
MSD Few,0.634,4,1,12,01914
MSD Few,0.422,2,11,11,00450
MSD Few,0.509,2,1,30,02305
MSD Few,3.392,2,2,13,01348
MSD Few,1.976,3,6,10,00169
MSD Few,0.429,2,13,8,01399
MSD Few,0.39,3,0,-1,02221
MSD Few,0.398,4,19,7,01755
MSD Few,0.471,2,0,7,02925
MSD Few,13.072,2,6,19,01830
MSD Few,0.422,3,0,9,00888
MSD Few,3.631,2,7,16,00573
MSD Few,0.539,3,2,9,01333
MSD Few,0.81,3,0,24,00740
MSD Few,3.204,2,12,28,01913
MSD Few,1.197,2,1,44,00036
MSD Few,0.679,2,7,5,01172
MSD Few,0.749,2,1,1,00353
MSD Few,0.416,3,0,14,02370
MSD Few,0.704,3,0,33,00501
MSD Few,0.343,2,8,22,00973
MSD Few,2.311,3,6,6,01087
MSD Few,1.179,2,8,16,03075
MSD Few,0.749,2,0,18,02285
MSD Few,0.779,2,4,5,00277
MSD Few,0.461,2,0,13,01568
MSD Few,1.561,2,4,17,00328
MSD Few,3.365,3,3,22,01893
MSD Few,0.843,3,7,8,00354
MSD Few,2.033,2,0,14,00850
MSD Few,0.68,3,3,15,02377
MSD Few,16.97,2,3,44,02138
MSD Few,0.368,2,0,14,02448
MSD Few,2.721,3,5,7,01191
MSD Few,0.421,3,0,6,01257
MSD Few,1.381,3,29,2,02897
MSD Few,0.782,2,0,35,00700
MSD Few,0.337,3,27,18,00239
MSD Few,0.727,3,5,16,00689
MSD Few,2.102,4,3,9,01196
MSD Few,1.156,2,1,2,02433
MSD Few,1.579,3,5,17,02394
MSD Few,0.444,2,18,11,01281
MSD Few,0.765,4,11,3,00242
MSD Few,0.682,4,10,7,02176
MSD Few,0.366,2,0,14,01198
MSD Few,0.712,3,6,29,02020
MSD Few,0.392,2,0,15,00948
MSD Few,0.62,2,2,21,02751
MSD Few,0.46,3,63,1,00465
MSD Few,0.749,2,6,5,00817
MSD Few,0.462,2,4,0,00313
MSD Few,0.446,3,0,13,03049
MSD Few,0.384,2,6,18,02899
MSD Few,0.517,3,25,2,01288
MSD Few,0.891,3,31,5,02848
MSD Few,0.4,2,0,9,00302
MSD Few,2.423,4,4,20,01542
MSD Few,0.713,2,5,6,02457
MSD Few,0.949,3,14,5,02036
MSD Few,1.715,2,8,18,00474
MSD Few,0.701,3,12,17,02901
MSD Few,0.431,2,9,10,02663
MSD Few,0.521,3,7,2,01776
MSD Few,2.346,2,11,13,00925
MSD Few,1.081,2,3,18,00557
MSD Few,0.362,3,0,3,02906
MSD Few,0.373,4,7,1,01539
MSD Few,0.798,2,0,17,01158
MSD Few,9.4,2,0,1,02508
MSD Few,0.344,2,0,27,02169
MSD Few,1.481,3,10,6,01124
MSD Few,1.364,4,13,5,00801
MSD Few,0.409,3,6,10,01594
MSD Few,0.786,4,11,4,01290
MSD Few,0.431,2,9,10,01537
MSD Few,0.423,3,16,6,01945
MSD Few,0.416,3,4,24,02735
MSD Few,0.658,4,10,8,02881
MSD Few,0.907,2,1,19,02611
MSD Few,0.493,4,16,5,00144
MSD Few,1.035,2,6,10,00282
MSD Few,0.342,2,0,43,00957
MSD Few,0.337,3,22,2,02974
MSD Few,1.399,3,3,10,01939
MSD Few,0.354,2,0,11,02749
MSD Few,0.631,4,7,5,00143
MSD Few,1.031,2,6,27,01866
MSD Few,1.067,3,5,14,00635
MSD Few,2.61,2,6,9,02160
MSD Few,0.518,3,0,9,02459
MSD Few,0.401,2,0,13,00808
MSD Few,0.776,4,9,23,01009
MSD Few,0.738,3,6,10,02095
MSD Few,1.285,3,5,9,01180
MSD Few,1.281,3,3,20,01246
MSD Few,0.354,3,6,9,02293
MSD Few,0.503,4,15,4,00433
MSD Few,0.811,2,3,22,01273
MSD Few,0.399,3,5,12,01274
MSD Few,0.487,3,12,10,00084
MSD Few,0.411,4,49,3,00342
MSD Few,2.695,2,45,2,00897
MSD Few,0.467,4,7,10,02624
MSD Few,0.668,3,0,14,03064
MSD Few,0.461,4,3,9,01731
MSD Few,6.276,2,7,26,00029
MSD Few,1.473,2,1,19,01826
MSD Few,1.126,3,2,21,02590
MSD Few,5.813,2,1,3,00562
MSD Few,0.409,2,9,18,02817
MSD Few,0.53,3,0,2,02465
MSD Few,1.442,2,2,28,02314
MSD Few,0.82,2,2,13,03135
MSD Few,0.53,4,10,2,01660
MSD Few,0.337,4,25,2,00756
MSD Few,0.77,4,32,10,02003
MSD Few,0.37,2,0,6,01032
MSD Few,1.456,2,0,27,02680
MSD Few,0.522,2,3,1,02127
MSD Few,0.65,3,2,14,02934
MSD Few,1.276,2,43,0,01325
MSD Few,0.704,2,0,13,00917
MSD Few,1.805,2,2,25,00104
MSD Few,0.337,2,8,27,02905
MSD Few,3.024,2,3,37,00585
MSD Few,1.173,2,2,9,00222
MSD Few,0.552,4,13,13,02388
MSD Few,0.636,2,0,39,02359
MSD Few,0.866,3,4,11,01999
MSD Few,0.872,4,13,13,00198
MSD Few,3.631,2,7,16,01230
MSD Few,5.045,3,10,15,02325
MSD Few,0.668,2,0,23,02035
MSD Few,0.672,2,6,20,02743
MSD Few,0.378,4,0,6,01772
MSD Few,0.79,3,2,15,00695
MSD Few,0.461,4,6,11,00225
MSD Few,2.168,2,9,14,02049
MSD Few,5.14,2,3,12,02098
MSD Few,0.543,2,14,10,01700
MSD Few,1.051,3,8,14,03055
MSD Few,3.525,4,2,27,00636
MSD Few,1.513,2,0,28,00982
MSD Few,0.424,2,3,12,02828
MSD Few,1.993,2,2,2,00479
MSD Few,6.909,3,5,17,00018
MSD Few,1.627,2,2,38,02047
MSD Few,0.685,2,1,8,01152
MSD Few,0.515,3,0,6,02885
MSD Few,1.679,4,0,7,02731
