Dataset,Duration,Speakers,Overlapping Speech,SNR,File
MSDWild Few,0.631,4,7,5,00143
MSDWild Few,0.521,2,9,8,00284
MSDWild Few,0.806,3,1,15,01450
MSDWild Few,3.631,2,7,16,01230
MSDWild Few,0.37,3,25,10,00407
MSDWild Few,1.033,4,25,13,00250
MSDWild Few,1.335,3,3,22,02147
MSDWild Few,0.749,2,0,18,00979
MSDWild Few,0.492,3,10,1,02249
MSDWild Few,0.84,3,8,7,00583
MSDWild Few,0.586,4,19,9,02262
MSDWild Few,0.684,2,5,10,01226
MSDWild Few,0.521,3,7,2,01776
MSDWild Few,0.375,2,0,13,02432
MSDWild Few,0.337,2,8,27,02905
MSDWild Few,1.679,4,0,7,02731
MSDWild Few,0.738,3,6,10,02095
MSDWild Few,0.368,2,8,5,02622
MSDWild Few,0.345,2,1,4,02452
MSDWild Few,0.927,2,5,2,02057
MSDWild Few,0.942,2,0,25,00142
MSDWild Few,1.993,2,2,2,00479
MSDWild Few,0.654,2,11,13,02773
MSDWild Few,0.467,4,7,10,02624
MSDWild Few,0.846,4,14,13,00134
MSDWild Few,1.136,2,1,15,02135
MSDWild Few,0.603,2,0,17,00177
MSDWild Few,0.966,2,5,28,02967
MSDWild Few,0.416,3,0,14,02370
MSDWild Few,18.73,2,10,7,02722
MSDWild Few,0.779,2,4,5,00277
MSDWild Few,2.168,2,9,14,02049
MSDWild Few,0.362,3,0,3,02906
MSDWild Few,0.476,3,25,30,02985
MSDWild Few,0.648,3,0,20,02383
MSDWild Few,1.147,2,1,13,02081
MSDWild Few,0.866,3,4,11,01999
MSDWild Few,0.676,2,13,12,01607
MSDWild Few,0.484,2,0,27,00551
MSDWild Few,0.398,4,19,7,01755
MSDWild Few,0.719,2,0,5,00431
MSDWild Few,1.481,3,10,6,01124
MSDWild Few,2.392,2,9,13,00567
MSDWild Few,1.069,3,5,10,02252
MSDWild Few,2.718,2,3,28,01697
MSDWild Few,1.473,2,1,19,01826
MSDWild Few,1.4,2,3,7,00669
MSDWild Few,0.709,2,3,8,02619
MSDWild Few,1.805,2,2,25,00104
MSDWild Few,0.479,4,22,8,00809
MSDWild Few,0.568,2,0,13,00073
MSDWild Few,0.408,2,0,21,02238
MSDWild Few,0.364,3,11,6,00540
MSDWild Few,0.416,3,4,24,02735
MSDWild Few,0.843,3,7,8,00354
MSDWild Few,0.645,2,0,18,00227
MSDWild Few,0.348,4,8,13,01229
MSDWild Few,0.701,3,12,17,02901
MSDWild Few,1.053,3,8,8,01499
MSDWild Few,1.06,2,0,19,01086
MSDWild Few,0.62,3,0,10,02544
MSDWild Few,2.175,2,2,20,00994
MSDWild Few,1.38,3,2,17,01342
MSDWild Few,1.056,3,13,7,02241
MSDWild Few,0.471,3,28,12,02595
MSDWild Few,0.536,2,4,20,01549
MSDWild Few,0.535,3,0,6,00428
MSDWild Few,0.422,2,11,11,00450
MSDWild Few,0.952,2,4,1,02464
MSDWild Few,0.631,2,0,1,02567
MSDWild Few,0.344,2,11,32,02019
MSDWild Few,0.431,2,9,10,01537
MSDWild Few,0.46,3,63,1,00465
MSDWild Few,0.487,3,12,6,01236
MSDWild Few,1.281,3,3,20,01246
MSDWild Few,0.404,2,3,10,02984
MSDWild Few,0.577,2,0,16,01536
MSDWild Few,0.824,2,5,30,02994
MSDWild Few,0.895,3,16,7,01998
MSDWild Few,1.715,2,8,18,00474
MSDWild Few,0.557,3,20,9,00347
MSDWild Few,0.433,2,3,6,02123
MSDWild Few,0.457,2,0,3,00560
MSDWild Few,0.382,2,0,31,02469
MSDWild Few,0.344,2,0,27,02169
MSDWild Few,0.759,3,0,6,00017
MSDWild Few,1.047,3,1,4,01927
MSDWild Few,0.811,2,4,22,01273
MSDWild Few,0.605,2,0,9,02271
MSDWild Few,0.749,2,1,1,00353
MSDWild Few,0.587,4,2,5,00571
MSDWild Few,0.668,3,0,14,03064
MSDWild Few,0.346,2,5,5,00788
MSDWild Few,0.365,2,4,36,01899
MSDWild Few,0.38,2,8,11,01264
MSDWild Few,0.399,3,5,12,01274
MSDWild Few,3.377,4,3,16,02802
MSDWild Few,0.77,2,3,9,01385
MSDWild Few,0.889,2,6,5,01329
MSDWild Few,1.073,2,0,30,01441
MSDWild Few,0.467,2,2,25,01500
MSDWild Few,0.796,2,0,6,02053
MSDWild Few,0.414,3,8,5,03022
MSDWild Few,0.947,2,0,8,02856
MSDWild Few,1.651,2,0,0,02971
MSDWild Few,0.471,2,0,7,02925
MSDWild Few,1.692,2,5,10,00770
MSDWild Few,0.337,4,25,2,00756
MSDWild Few,0.471,4,17,6,02753
MSDWild Few,0.815,2,2,13,00614
MSDWild Few,2.423,4,4,20,01542
MSDWild Few,0.788,2,1,4,02405
MSDWild Few,0.678,3,3,30,00856
MSDWild Few,0.919,3,8,7,00091
MSDWild Few,1.4,4,4,6,02976
MSDWild Few,0.541,2,0,39,02451
MSDWild Few,0.349,2,2,24,03054
MSDWild Few,0.416,2,3,7,01848
MSDWild Few,1.197,2,1,44,00036
MSDWild Few,1.46,4,8,9,00645
MSDWild Few,1.485,2,0,13,02960
MSDWild Few,0.343,2,6,15,01951
MSDWild Few,0.637,2,0,36,01661
MSDWild Few,0.42,3,16,20,01327
MSDWild Few,0.336,2,0,41,01664
MSDWild Few,0.703,2,10,5,01418
MSDWild Few,1.201,2,4,8,00598
MSDWild Few,0.58,4,7,10,01034
MSDWild Few,0.65,3,2,14,02934
MSDWild Few,0.723,2,14,20,01875
MSDWild Few,0.461,4,4,18,00233
MSDWild Few,0.538,2,1,6,01980
MSDWild Few,4.014,3,1,29,01719
MSDWild Few,0.591,2,21,5,00493
MSDWild Few,0.392,2,0,15,00948
MSDWild Few,0.446,3,0,13,03049
MSDWild Few,1.456,2,0,27,02680
MSDWild Few,0.471,2,5,13,00180
MSDWild Few,0.487,3,12,10,00084
MSDWild Few,0.682,4,10,7,02187
MSDWild Few,0.424,2,3,12,02828
MSDWild Few,0.891,3,31,5,02848
MSDWild Few,0.495,2,0,16,00427
MSDWild Few,1.068,2,4,40,01136
MSDWild Few,0.347,2,0,5,02869
MSDWild Few,0.356,3,4,21,02641
MSDWild Few,1.156,2,1,2,02433
MSDWild Few,0.782,2,0,35,00700
MSDWild Few,0.749,2,11,11,02161
MSDWild Few,1.56,3,35,1,02768
MSDWild Few,1.179,2,8,16,03075
MSDWild Few,1.295,2,0,32,02830
MSDWild Few,0.353,2,3,9,00666
MSDWild Few,0.522,2,3,1,02127
MSDWild Few,1.141,2,5,13,00682
MSDWild Few,0.418,2,0,13,02215
MSDWild Few,0.422,3,33,9,00090
MSDWild Few,0.457,3,6,34,00734
MSDWild Few,0.465,2,0,0,01002
MSDWild Few,2.704,2,1,14,02412
MSDWild Few,0.819,2,0,4,00852
MSDWild Few,1.134,4,8,14,00378
MSDWild Few,22.008,2,5,21,02470
MSDWild Few,0.636,2,0,39,02359
MSDWild Few,0.474,2,2,11,02692
MSDWild Few,0.68,3,3,15,02377
MSDWild Few,0.79,3,2,15,00695
MSDWild Few,1.764,3,14,6,01548
MSDWild Few,13.072,2,6,19,01830
MSDWild Few,1.035,2,6,10,01777
MSDWild Few,0.423,3,16,6,01945
MSDWild Few,0.338,2,12,9,01228
MSDWild Few,1.173,2,2,9,00222
MSDWild Few,3.092,2,2,12,01178
MSDWild Few,0.461,4,6,11,00225
MSDWild Few,0.415,2,0,21,00240
MSDWild Few,0.541,3,11,11,02365
MSDWild Few,2.425,2,3,15,00619
MSDWild Few,0.986,2,1,14,02606
MSDWild Few,1.266,2,11,20,03062
MSDWild Few,2.61,2,6,9,02160
MSDWild Few,0.873,4,11,11,02785
MSDWild Few,2.346,2,11,13,00925
MSDWild Few,0.456,3,4,13,00332
MSDWild Few,0.834,3,2,34,00631
MSDWild Few,1.265,4,22,9,02110
MSDWild Few,3.204,2,12,28,01913
MSDWild Few,0.515,2,93,-2,00844
MSDWild Few,0.405,2,21,4,00641
MSDWild Few,0.373,4,7,1,01539
MSDWild Few,0.368,2,1,14,00705
MSDWild Few,0.622,2,17,1,00668
MSDWild Few,0.575,2,0,13,01888
MSDWild Few,0.368,2,0,14,02448
MSDWild Few,0.488,2,7,14,01380
MSDWild Few,0.42,3,0,7,00066
MSDWild Few,0.348,2,10,14,00799
MSDWild Few,0.601,2,0,9,01543
MSDWild Few,0.392,2,2,15,00954
MSDWild Few,0.634,3,4,19,01484
MSDWild Few,0.393,4,0,2,02509
MSDWild Few,0.429,2,13,8,01399
MSDWild Few,0.493,4,16,5,00144
MSDWild Few,0.509,2,1,30,02305
MSDWild Few,0.357,4,15,10,02218
MSDWild Few,0.611,3,18,10,00996
MSDWild Few,0.387,4,21,12,00785
MSDWild Few,1.031,2,6,27,01866
MSDWild Few,0.56,2,5,0,00475
MSDWild Few,1.495,2,2,35,02662
MSDWild Few,0.69,2,1,11,01092
MSDWild Few,0.951,2,0,9,00481
MSDWild Few,0.338,3,0,10,00628
MSDWild Few,0.454,4,6,1,00991
MSDWild Few,2.721,3,5,7,01191
MSDWild Few,3.387,2,7,13,01356
MSDWild Few,0.402,2,7,7,03070
MSDWild Few,3.024,4,21,3,01157
MSDWild Few,0.642,2,9,20,01726
MSDWild Few,8.651,2,0,31,01540
MSDWild Few,0.503,4,12,4,00433
MSDWild Few,0.378,4,0,6,01772
MSDWild Few,0.765,3,0,0,02972
MSDWild Few,0.53,4,10,2,00053
MSDWild Few,0.91,2,0,11,02515
MSDWild Few,0.492,2,0,14,01070
MSDWild Few,0.776,4,9,23,01009
MSDWild Few,0.539,3,2,9,01333
MSDWild Few,1.153,2,0,9,02190
MSDWild Few,1.364,4,13,5,00801
MSDWild Few,1.463,2,1,8,00677
MSDWild Few,1.369,3,13,11,01019
MSDWild Few,0.361,4,1,14,03014
MSDWild Few,0.784,4,0,0,03028
MSDWild Few,0.81,3,0,24,00740
MSDWild Few,0.343,2,8,22,02866
MSDWild Few,0.462,2,4,0,00313
MSDWild Few,1.171,4,17,5,02061
MSDWild Few,0.405,3,4,20,02074
MSDWild Few,0.464,2,6,6,01457
MSDWild Few,0.409,3,6,10,02319
MSDWild Few,0.384,2,6,18,02899
MSDWild Few,0.43,3,9,4,01370
MSDWild Few,1.42,2,9,14,00872
MSDWild Few,1.056,4,7,15,02677
MSDWild Few,1.561,2,4,17,00328
MSDWild Few,0.411,3,0,21,01240
MSDWild Few,0.749,2,6,5,00817
MSDWild Few,0.354,3,7,9,02293
MSDWild Few,0.62,2,2,21,02751
MSDWild Few,0.432,2,4,13,01031
MSDWild Few,0.778,2,0,46,01909
MSDWild Few,1.627,2,2,38,02047
MSDWild Few,0.634,4,1,12,01914
MSDWild Few,0.382,2,0,6,01266
MSDWild Few,0.704,2,3,2,02150
MSDWild Few,0.557,2,0,10,00701
MSDWild Few,1.023,3,11,16,02301
MSDWild Few,0.409,2,9,18,02817
MSDWild Few,0.458,2,3,5,00882
MSDWild Few,0.949,3,14,5,02036
MSDWild Few,0.644,3,0,10,02189
MSDWild Few,0.517,2,5,11,00778
MSDWild Few,0.345,3,3,43,01392
MSDWild Few,0.461,2,0,13,01568
MSDWild Few,0.553,3,3,5,02883
MSDWild Few,1.459,3,16,8,01137
MSDWild Few,0.362,4,4,16,00532
MSDWild Few,0.832,2,8,14,02693
MSDWild Few,16.97,2,3,44,02138
MSDWild Few,1.285,3,5,9,01180
MSDWild Few,2.062,2,2,4,02991
MSDWild Few,0.53,4,10,2,01660
MSDWild Few,0.749,2,0,18,02285
MSDWild Few,0.401,2,0,13,00808
MSDWild Few,0.704,2,0,13,00917
MSDWild Few,1.636,2,0,20,01182
MSDWild Few,1.647,2,3,14,01509
MSDWild Few,1.399,3,3,10,01939
MSDWild Few,0.658,4,9,8,02881
MSDWild Few,1.513,2,0,28,00982
MSDWild Few,0.552,4,13,13,02388
MSDWild Few,0.911,2,9,17,01725
MSDWild Few,0.409,3,5,10,01594
MSDWild Few,0.467,4,8,10,00864
MSDWild Few,0.713,4,5,7,02978
MSDWild Few,6.402,3,4,20,02631
MSDWild Few,0.375,3,9,30,02025
MSDWild Few,0.361,2,0,6,03138
MSDWild Few,0.535,4,12,9,01398
MSDWild Few,0.411,3,0,11,01330
MSDWild Few,1.081,2,3,18,00557
MSDWild Few,1.632,2,3,27,02759
