Dataset,Duration,Speakers,Overlapping Speech,SNR,File
RAMC,31.443,3,1,20,CTS-CN-F2F-2019-11-15-65
RAMC,14.997,3,0,16,CTS-CN-F2F-2019-11-11-431
RAMC,31.044,3,5,30,CTS-CN-F2F-2019-11-04-387
RAMC,30.461,3,8,24,CTS-CN-F2F-2019-11-15-17
RAMC,32.072,3,1,28,CTS-CN-F2F-2019-11-15-101
RAMC,30.402,3,0,25,CTS-CN-F2F-2019-11-15-88
RAMC,32.297,3,7,25,CTS-CN-F2F-2019-11-15-81
RAMC,30.14,3,0,23,CTS-CN-F2F-2019-11-15-150
RAMC,30.538,3,0,35,CTS-CN-F2F-2019-11-15-73
RAMC,32.031,3,0,35,CTS-CN-F2F-2019-11-15-3
RAMC,31.443,3,6,14,CTS-CN-F2F-2019-11-15-56
RAMC,14.056,3,0,26,CTS-CN-F2F-2019-11-11-198
RAMC,32.602,3,2,27,CTS-CN-F2F-2019-11-15-135
RAMC,31.066,3,0,38,CTS-CN-F2F-2019-11-15-100
RAMC,15.459,3,1,12,CTS-CN-F2F-2019-11-11-390
RAMC,31.055,3,1,50,CTS-CN-F2F-2019-11-15-75
RAMC,31.03,3,0,36,CTS-CN-F2F-2019-11-15-123
RAMC,32.012,3,1,31,CTS-CN-F2F-2019-11-15-151
RAMC,31.325,3,3,22,CTS-CN-F2F-2019-11-15-91
RAMC,31.128,3,0,24,CTS-CN-F2F-2019-11-15-8
RAMC,15.075,3,0,13,CTS-CN-F2F-2019-11-11-716
RAMC,31.009,3,0,33,CTS-CN-F2F-2019-11-15-144
RAMC,31.037,3,1,37,CTS-CN-F2F-2019-11-15-52
RAMC,31.724,3,3,31,CTS-CN-F2F-2019-11-15-138
RAMC,30.029,3,1,34,CTS-CN-F2F-2019-11-15-27
RAMC,30.996,3,0,32,CTS-CN-F2F-2019-11-15-39
RAMC,31.063,3,5,24,CTS-CN-F2F-2019-11-15-45
RAMC,31.645,3,3,30,CTS-CN-F2F-2019-11-15-94
RAMC,31.034,3,1,39,CTS-CN-F2F-2019-11-15-153
RAMC,31.059,3,3,39,CTS-CN-F2F-2019-11-15-128
RAMC,31.661,3,0,24,CTS-CN-F2F-2019-11-15-126
RAMC,31.19,3,0,29,CTS-CN-F2F-2019-11-15-37
RAMC,29.985,3,0,42,CTS-CN-F2F-2019-11-15-121
RAMC,28.875,3,0,49,CTS-CN-F2F-2019-11-15-9
RAMC,30.478,3,0,56,CTS-CN-F2F-2019-11-15-77
RAMC,14.253,3,0,24,CTS-CN-F2F-2019-11-11-423
RAMC,30.03,3,1,19,CTS-CN-F2F-2019-11-15-68
RAMC,31.04,3,0,45,CTS-CN-F2F-2019-11-15-105
RAMC,31.267,3,2,24,CTS-CN-F2F-2019-11-15-26
RAMC,30.913,3,0,27,CTS-CN-F2F-2019-11-15-82
RAMC,31.574,3,1,38,CTS-CN-F2F-2019-11-15-53
RAMC,15.078,3,0,12,CTS-CN-F2F-2019-11-11-193
RAMC,31.024,3,4,24,CTS-CN-F2F-2019-11-15-142
