Dataset,Duration,Speakers,Overlapping Speech,SNR,File
RAMC,32.078,3,2,25,CTS-CN-F2F-2019-11-15-1284
RAMC,30.356,3,0,30,CTS-CN-F2F-2019-11-15-1193
RAMC,31.003,3,0,24,CTS-CN-F2F-2019-11-15-1229
RAMC,32.103,3,3,24,CTS-CN-F2F-2019-11-15-475
RAMC,31.398,3,2,39,CTS-CN-F2F-2019-11-15-580
RAMC,31.155,3,0,55,CTS-CN-F2F-2019-11-15-227
RAMC,31.04,3,1,31,CTS-CN-F2F-2019-11-15-551
RAMC,30.095,3,1,25,CTS-CN-F2F-2019-11-15-1137
RAMC,31.034,3,0,31,CTS-CN-F2F-2019-11-15-980
RAMC,30.248,3,2,30,CTS-CN-F2F-2019-11-15-634
RAMC,31.024,3,4,24,CTS-CN-F2F-2019-11-15-142
RAMC,15.078,3,0,12,CTS-CN-F2F-2019-11-11-193
RAMC,32.137,3,3,23,CTS-CN-F2F-2019-11-15-407
RAMC,15.298,3,0,54,CTS-CN-F2F-2019-11-15-229
RAMC,30.365,3,1,13,CTS-CN-F2F-2019-11-15-1475
RAMC,31.01,3,4,22,CTS-CN-F2F-2019-11-15-956
RAMC,30.038,3,4,36,CTS-CN-F2F-2019-11-15-722
RAMC,31.076,3,0,38,CTS-CN-F2F-2019-11-15-896
RAMC,31.17,3,1,30,CTS-CN-F2F-2019-11-15-392
RAMC,32.298,3,0,31,CTS-CN-F2F-2019-11-15-1105
RAMC,30.996,3,0,28,CTS-CN-F2F-2019-11-15-511
RAMC,31.002,3,1,20,CTS-CN-F2F-2019-11-15-963
RAMC,31.245,3,1,23,CTS-CN-F2F-2019-11-15-267
RAMC,32.096,3,2,28,CTS-CN-F2F-2019-11-15-1102
RAMC,31.037,3,1,37,CTS-CN-F2F-2019-11-15-52
RAMC,25.69,3,1,25,CTS-CN-F2F-2019-11-15-601
RAMC,30.913,3,3,31,CTS-CN-F2F-2019-11-15-432
RAMC,32.306,3,0,56,CTS-CN-F2F-2019-11-15-1447
RAMC,30.144,3,0,32,CTS-CN-F2F-2019-11-15-918
RAMC,30.993,3,1,51,CTS-CN-F2F-2019-11-15-1331
RAMC,30.483,3,2,19,CTS-CN-F2F-2019-11-15-1170
RAMC,33.022,3,1,24,CTS-CN-F2F-2019-11-15-1449
RAMC,31.04,3,0,45,CTS-CN-F2F-2019-11-15-105
RAMC,25.045,3,0,29,CTS-CN-F2F-2019-11-15-849
RAMC,30.029,3,1,34,CTS-CN-F2F-2019-11-15-27
RAMC,31.194,3,1,16,CTS-CN-F2F-2019-11-15-781
RAMC,32.543,3,0,18,CTS-CN-F2F-2019-11-15-665
RAMC,31.081,3,1,27,CTS-CN-F2F-2019-11-15-204
RAMC,31.151,3,1,52,CTS-CN-F2F-2019-11-15-1355
RAMC,31.116,3,1,31,CTS-CN-F2F-2019-11-15-1423
RAMC,31.041,3,1,39,CTS-CN-F2F-2019-11-15-1094
RAMC,32.295,3,3,23,CTS-CN-F2F-2019-11-15-451
RAMC,32.159,3,1,27,CTS-CN-F2F-2019-11-15-797
RAMC,30.515,3,0,54,CTS-CN-F2F-2019-11-15-480
RAMC,31.247,3,2,21,CTS-CN-F2F-2019-11-15-662
RAMC,31.0,3,1,25,CTS-CN-F2F-2019-11-15-203
RAMC,31.044,3,1,25,CTS-CN-F2F-2019-11-15-1458
RAMC,31.016,3,1,22,CTS-CN-F2F-2019-11-15-575
RAMC,31.028,3,1,16,CTS-CN-F2F-2019-11-15-1039
RAMC,14.253,3,0,24,CTS-CN-F2F-2019-11-11-423
RAMC,31.03,3,2,16,CTS-CN-F2F-2019-11-15-166
RAMC,32.043,3,4,24,CTS-CN-F2F-2019-11-15-799
RAMC,32.166,3,3,32,CTS-CN-F2F-2019-11-15-1037
RAMC,32.598,3,2,23,CTS-CN-F2F-2019-11-15-384
RAMC,30.557,3,1,19,CTS-CN-F2F-2019-11-15-880
RAMC,32.036,3,3,25,CTS-CN-F2F-2019-11-15-856
RAMC,30.757,3,1,25,CTS-CN-F2F-2019-11-15-352
RAMC,30.99,3,5,21,CTS-CN-F2F-2019-11-15-276
RAMC,32.066,3,1,38,CTS-CN-F2F-2019-11-15-500
RAMC,30.562,3,1,31,CTS-CN-F2F-2019-11-15-489
RAMC,31.059,3,3,39,CTS-CN-F2F-2019-11-15-128
RAMC,32.562,3,2,31,CTS-CN-F2F-2019-11-15-1005
RAMC,32.008,3,4,16,CTS-CN-F2F-2019-11-15-863
RAMC,31.034,3,1,39,CTS-CN-F2F-2019-11-15-153
RAMC,30.959,3,2,24,CTS-CN-F2F-2019-11-15-295
RAMC,31.118,3,1,20,CTS-CN-F2F-2019-11-15-991
RAMC,30.132,3,2,21,CTS-CN-F2F-2019-11-15-244
RAMC,32.187,3,3,19,CTS-CN-F2F-2019-11-15-1231
RAMC,31.755,3,0,57,CTS-CN-F2F-2019-11-15-1463
RAMC,32.145,3,0,32,CTS-CN-F2F-2019-11-15-1070
RAMC,32.163,3,1,41,CTS-CN-F2F-2019-11-15-1128
RAMC,29.985,3,0,42,CTS-CN-F2F-2019-11-15-121
RAMC,32.021,3,1,33,CTS-CN-F2F-2019-11-15-657
RAMC,32.721,3,6,24,CTS-CN-F2F-2019-11-15-1292
RAMC,31.661,3,0,24,CTS-CN-F2F-2019-11-15-126
RAMC,31.78,3,3,34,CTS-CN-F2F-2019-11-15-681
RAMC,30.94,3,1,30,CTS-CN-F2F-2019-11-15-935
RAMC,31.16,3,0,28,CTS-CN-F2F-2019-11-15-596
RAMC,30.06,3,8,23,CTS-CN-F2F-2019-11-15-231
RAMC,31.334,3,0,52,CTS-CN-F2F-2019-11-15-650
RAMC,32.125,3,1,19,CTS-CN-F2F-2019-11-15-708
RAMC,31.064,3,2,22,CTS-CN-F2F-2019-11-15-1295
RAMC,32.109,3,0,36,CTS-CN-F2F-2019-11-15-811
RAMC,32.187,3,0,41,CTS-CN-F2F-2019-11-15-1261
RAMC,31.267,3,2,24,CTS-CN-F2F-2019-11-15-26
RAMC,32.385,3,2,32,CTS-CN-F2F-2019-11-15-834
RAMC,31.026,3,1,12,CTS-CN-F2F-2019-11-15-446
RAMC,32.485,3,1,24,CTS-CN-F2F-2019-11-15-268
RAMC,32.138,3,4,22,CTS-CN-F2F-2019-11-15-337
RAMC,31.154,3,1,27,CTS-CN-F2F-2019-11-15-1434
RAMC,32.359,3,3,35,CTS-CN-F2F-2019-11-15-1055
RAMC,32.101,3,0,28,CTS-CN-F2F-2019-11-15-1342
RAMC,30.767,3,0,31,CTS-CN-F2F-2019-11-15-1266
RAMC,31.149,3,2,22,CTS-CN-F2F-2019-11-15-1448
RAMC,30.923,3,0,31,CTS-CN-F2F-2019-11-15-213
RAMC,31.294,3,3,23,CTS-CN-F2F-2019-11-15-1103
RAMC,30.913,3,0,27,CTS-CN-F2F-2019-11-15-82
