Dataset,Duration,Speakers,Overlapping Speech,SNR,File
This American Life,59.403,3,0,26,682
This American Life,59.339,21,1,32,258
This American Life,60.437,9,1,31,11
This American Life,58.041,29,1,29,527
This American Life,61.349,23,0,29,403
This American Life,67.533,27,0,31,683
This American Life,55.923,14,0,23,164
This American Life,56.782,19,0,31,493
This American Life,59.285,22,0,24,219
This American Life,57.848,16,0,35,437
This American Life,59.084,32,0,26,171
This American Life,58.102,17,0,32,522
This American Life,66.183,13,0,29,635
This American Life,59.018,19,1,28,195
This American Life,59.298,41,2,23,120
This American Life,57.996,10,0,29,242
This American Life,62.561,21,0,36,548
This American Life,59.314,14,0,32,270
This American Life,58.067,34,0,34,382
This American Life,59.336,21,0,25,279
This American Life,57.703,19,1,28,475
This American Life,57.671,24,1,36,524
This American Life,57.435,15,0,32,558
This American Life,59.017,26,2,29,648
This American Life,57.916,15,1,27,432
This American Life,56.833,20,0,30,516
This American Life,59.105,15,1,24,177
This American Life,59.0,10,0,25,343
This American Life,57.577,17,1,29,456
This American Life,58.4,10,0,29,619
This American Life,58.991,18,0,23,113
This American Life,61.64,23,0,31,665
This American Life,58.694,32,1,26,489
This American Life,59.001,18,0,33,355
This American Life,58.284,12,5,27,416
This American Life,59.134,21,0,17,78
