Data Set,Duration,Speakers,Overlapping Speech,SNR,File
AliMeeting Far,32.754,4,35,12,R8004_M8006_MS805
AliMeeting Far,32.285,3,0,10,R8008_M8014_MS807
AliMeeting Far,32.051,2,1,24,R8009_M8028_MS812
AliMeeting Far,31.603,3,0,8,R8008_M8015_MS808
AliMeeting Far,29.617,4,16,11,R8005_M8009_MS802
AliMeeting Far,30.334,3,1,16,R8008_M8017_MS808
AliMeeting Far,31.354,2,0,22,R8009_M8027_MS812
AliMeeting Far,34.884,4,13,22,R8004_M8005_MS803
AliMeeting Far,30.65,3,2,14,R8008_M8016_MS808
AliMeeting Far,33.052,2,0,18,R8009_M8026_MS812
AliMeeting Far,34.035,4,3,19,R8002_M8003_MS803
AliMeeting Far,32.712,2,1,23,R8009_M8023_MS811
AliMeeting Far,34.418,2,1,18,R8009_M8025_MS811
AliMeeting Far,32.68,4,11,19,R8005_M8008_MS806
AliMeeting Far,30.908,2,0,16,R8009_M8024_MS811
AliMeeting Far,33.643,2,1,32,R8009_M8022_MS810
AliMeeting Far,31.161,4,18,15,R8005_M8007_MS806
AliMeeting Far,33.473,2,3,20,R8009_M8021_MS810
AliMeeting Far,34.442,4,9,17,R8002_M8002_MS802
AliMeeting Far,30.536,4,2,19,R8006_M8012_MS803
