Data Set,Duration,Speakers,Overlapping Speech,SNR,File
AliMeeting Near,30.907,1,0,28,R8009_M8024_N_SPK8077
AliMeeting Near,32.408,1,0,22,R8005_M8008_N_SPK8039
AliMeeting Near,32.408,1,0,21,R8005_M8008_N_SPK8042
AliMeeting Near,30.334,1,0,30,R8008_M8017_N_SPK8063
AliMeeting Near,30.334,1,0,15,R8008_M8017_N_SPK8064
AliMeeting Near,29.7,1,0,27,R8005_M8009_N_SPK8046
AliMeeting Near,34.007,1,1,12,R8002_M8003_N_SPK8010
AliMeeting Near,30.65,1,0,30,R8008_M8016_N_SPK8060
AliMeeting Near,32.757,1,0,21,R8004_M8006_N_SPK8031
AliMeeting Near,32.285,1,0,20,R8008_M8014_N_SPK8053
AliMeeting Near,33.471,1,0,31,R8009_M8021_N_SPK8028
AliMeeting Near,31.303,1,0,22,R8005_M8007_N_SPK8037
AliMeeting Near,31.603,1,0,20,R8008_M8015_N_SPK8059
AliMeeting Near,34.87,1,3,14,R8004_M8005_N_SPK8019
AliMeeting Near,34.371,1,1,25,R8002_M8002_N_SPK8005
AliMeeting Near,30.494,1,0,30,R8006_M8012_N_SPK8072
AliMeeting Near,31.603,1,0,24,R8008_M8015_N_SPK8057
AliMeeting Near,34.87,1,0,26,R8004_M8005_N_SPK8017
AliMeeting Near,30.65,1,0,19,R8008_M8016_N_SPK8061
AliMeeting Near,34.007,1,0,32,R8002_M8003_N_SPK8011
AliMeeting Near,30.334,1,0,24,R8008_M8017_N_SPK8065
AliMeeting Near,30.906,1,0,26,R8009_M8024_N_SPK8076
AliMeeting Near,33.471,1,0,27,R8009_M8021_N_SPK8027
AliMeeting Near,31.303,1,0,23,R8005_M8007_N_SPK8038
AliMeeting Near,31.603,1,0,10,R8008_M8015_N_SPK8058
AliMeeting Near,34.87,1,2,20,R8004_M8005_N_SPK8018
AliMeeting Near,30.494,1,0,20,R8006_M8012_N_SPK8073
AliMeeting Near,31.303,1,0,20,R8005_M8007_N_SPK8036
AliMeeting Near,34.007,1,1,8,R8002_M8003_N_SPK8009
AliMeeting Near,32.285,1,0,13,R8008_M8014_N_SPK8052
AliMeeting Near,32.711,1,0,38,R8009_M8023_N_SPK8074
AliMeeting Near,33.641,1,0,24,R8009_M8022_N_SPK8030
AliMeeting Near,31.303,1,1,24,R8005_M8007_N_SPK8035
AliMeeting Near,34.371,1,6,15,R8002_M8002_N_SPK8007
AliMeeting Near,30.494,1,0,19,R8006_M8012_N_SPK8070
AliMeeting Near,32.285,1,0,28,R8008_M8014_N_SPK8051
AliMeeting Near,32.049,1,0,23,R8009_M8028_N_SPK8085
AliMeeting Near,32.757,1,0,27,R8004_M8006_N_SPK8033
AliMeeting Near,32.757,1,1,17,R8004_M8006_N_SPK8034
AliMeeting Near,34.87,1,2,20,R8004_M8005_N_SPK8020
AliMeeting Near,34.415,1,0,37,R8009_M8025_N_SPK8078
AliMeeting Near,34.007,1,0,14,R8002_M8003_N_SPK8012
AliMeeting Near,31.353,1,0,25,R8009_M8027_N_SPK8082
AliMeeting Near,30.65,1,0,13,R8008_M8016_N_SPK8062
AliMeeting Near,29.7,1,0,26,R8005_M8009_N_SPK8043
AliMeeting Near,29.7,1,0,20,R8005_M8009_N_SPK8044
AliMeeting Near,33.05,1,0,27,R8009_M8026_N_SPK8081
AliMeeting Near,32.408,1,0,25,R8005_M8008_N_SPK8040
AliMeeting Near,32.05,1,0,35,R8009_M8028_N_SPK8084
AliMeeting Near,32.757,1,1,25,R8004_M8006_N_SPK8032
AliMeeting Near,34.371,1,3,15,R8002_M8002_N_SPK8006
AliMeeting Near,30.494,1,0,24,R8006_M8012_N_SPK8071
AliMeeting Near,34.371,1,1,17,R8002_M8002_N_SPK8008
AliMeeting Near,32.713,1,0,20,R8009_M8023_N_SPK8075
AliMeeting Near,32.408,1,0,27,R8005_M8008_N_SPK8041
AliMeeting Near,33.051,1,0,29,R8009_M8026_N_SPK8080
AliMeeting Near,33.641,1,0,34,R8009_M8022_N_SPK8029
AliMeeting Near,29.7,1,0,21,R8005_M8009_N_SPK8045
AliMeeting Near,34.415,1,0,17,R8009_M8025_N_SPK8079
AliMeeting Near,31.353,1,0,29,R8009_M8027_N_SPK8083
