Data Set,Duration,Speakers,Overlapping Speech,SNR,File
MSDWild Few,0.418,2,0,13,02215
MSDWild Few,0.364,3,11,6,00540
MSDWild Few,0.885,2,4,1,00369
MSDWild Few,0.361,3,0,4,00708
MSDWild Few,0.844,2,6,5,02564
MSDWild Few,1.047,3,1,4,01927
MSDWild Few,1.025,2,5,28,02832
MSDWild Few,1.628,4,3,8,02021
MSDWild Few,0.471,4,35,0,00949
MSDWild Few,0.603,2,7,8,01197
MSDWild Few,0.558,2,10,15,01527
MSDWild Few,0.375,2,0,13,02432
MSDWild Few,1.995,4,13,12,00706
MSDWild Few,0.796,2,0,6,02053
MSDWild Few,1.201,2,4,8,00598
MSDWild Few,1.632,2,3,27,02759
MSDWild Few,0.611,3,18,10,00996
MSDWild Few,0.382,3,48,-1,00535
MSDWild Few,0.454,4,6,1,00991
MSDWild Few,0.986,2,1,14,02606
MSDWild Few,0.362,4,4,16,00532
MSDWild Few,18.73,2,10,7,02722
MSDWild Few,0.467,4,7,10,00864
MSDWild Few,0.543,2,8,6,01520
MSDWild Few,0.557,2,0,10,00701
MSDWild Few,1.369,3,13,11,01019
MSDWild Few,0.459,2,0,18,00329
MSDWild Few,0.348,2,10,14,00799
MSDWild Few,0.642,2,9,20,01726
MSDWild Few,2.338,3,4,23,01967
MSDWild Few,0.682,2,1,10,00423
MSDWild Few,1.002,2,0,18,02589
MSDWild Few,0.38,2,8,11,01264
MSDWild Few,0.402,2,16,2,00972
MSDWild Few,1.06,2,0,19,01086
MSDWild Few,1.324,2,5,20,02227
MSDWild Few,0.512,2,1,4,00572
MSDWild Few,0.51,2,0,5,01912
MSDWild Few,2.425,2,3,15,00619
MSDWild Few,0.422,3,28,9,01567
MSDWild Few,2.724,2,1,33,01211
MSDWild Few,0.535,4,12,9,01398
MSDWild Few,14.143,2,3,15,01443
MSDWild Few,0.637,2,0,36,01661
MSDWild Few,0.372,2,10,12,01452
MSDWild Few,1.144,3,1,15,01324
MSDWild Few,0.432,3,11,6,02596
MSDWild Few,0.384,3,9,6,02650
MSDWild Few,0.58,4,7,10,01034
MSDWild Few,0.958,3,5,24,01827
MSDWild Few,0.346,2,4,12,00215
MSDWild Few,0.634,3,4,19,01484
MSDWild Few,0.487,2,14,15,01429
MSDWild Few,0.654,2,11,13,02773
MSDWild Few,1.745,2,7,25,02005
MSDWild Few,0.952,2,4,1,02464
MSDWild Few,0.408,2,0,21,02238
MSDWild Few,1.089,2,21,7,02864
MSDWild Few,0.539,2,2,8,02532
MSDWild Few,0.703,2,3,13,02295
MSDWild Few,0.63,2,10,13,01855
MSDWild Few,0.488,2,7,14,01380
MSDWild Few,2.062,2,2,4,02991
MSDWild Few,2.029,3,5,19,00449
MSDWild Few,0.639,3,2,2,00028
MSDWild Few,3.927,2,5,5,02535
MSDWild Few,3.387,2,7,13,01356
MSDWild Few,0.603,2,0,17,00177
MSDWild Few,1.266,2,11,20,03062
MSDWild Few,0.368,2,8,5,02622
MSDWild Few,0.346,2,5,5,00788
MSDWild Few,0.53,4,10,2,00053
MSDWild Few,0.942,2,0,25,00142
MSDWild Few,0.521,2,9,8,00284
MSDWild Few,0.765,3,0,0,02972
MSDWild Few,0.35,2,0,2,00980
MSDWild Few,0.749,2,11,11,02161
MSDWild Few,0.479,4,22,8,00809
MSDWild Few,0.648,3,0,20,02383
MSDWild Few,0.947,2,0,8,02856
MSDWild Few,0.339,2,0,9,01296
MSDWild Few,1.017,2,3,16,01943
MSDWild Few,0.42,3,0,7,00066
MSDWild Few,0.37,3,25,10,00407
MSDWild Few,0.577,2,0,16,01536
MSDWild Few,3.024,4,21,3,01157
MSDWild Few,0.824,2,0,43,02093
MSDWild Few,1.42,2,9,14,00872
MSDWild Few,0.605,2,0,9,02271
MSDWild Few,1.035,2,6,10,01777
MSDWild Few,0.414,3,8,5,03022
MSDWild Few,1.495,2,2,35,02662
MSDWild Few,0.405,2,21,4,00641
MSDWild Few,0.465,3,3,12,00719
MSDWild Few,1.075,2,13,12,02823
MSDWild Few,0.541,2,0,39,02451
MSDWild Few,0.709,2,3,8,02619
MSDWild Few,0.601,2,0,9,01543
MSDWild Few,0.472,3,1,6,00762
MSDWild Few,0.56,2,5,0,00475
MSDWild Few,0.484,2,0,27,00551
MSDWild Few,0.645,2,0,18,00227
MSDWild Few,0.951,2,0,9,00481
MSDWild Few,0.634,4,1,12,01914
MSDWild Few,0.422,2,11,11,00450
MSDWild Few,0.509,2,1,30,02305
MSDWild Few,3.392,2,2,13,01348
MSDWild Few,1.976,3,6,10,00169
MSDWild Few,0.429,2,13,8,01399
MSDWild Few,0.39,3,0,-1,02221
MSDWild Few,0.471,2,0,7,02925
MSDWild Few,13.072,2,6,19,01830
MSDWild Few,0.422,3,0,9,00888
MSDWild Few,3.631,2,7,16,00573
MSDWild Few,0.539,3,2,9,01333
MSDWild Few,0.81,3,0,24,00740
MSDWild Few,3.204,2,12,28,01913
MSDWild Few,1.197,2,1,44,00036
MSDWild Few,0.679,2,7,5,01172
MSDWild Few,0.749,2,1,1,00353
MSDWild Few,0.343,2,8,22,00973
MSDWild Few,2.311,3,6,6,01087
MSDWild Few,1.179,2,8,16,03075
MSDWild Few,0.749,2,0,18,02285
MSDWild Few,0.779,2,4,5,00277
MSDWild Few,0.461,2,0,13,01568
MSDWild Few,1.561,2,4,17,00328
MSDWild Few,3.365,3,3,22,01893
MSDWild Few,0.843,3,7,8,00354
MSDWild Few,2.033,2,0,14,00850
MSDWild Few,16.97,2,3,44,02138
MSDWild Few,0.368,2,0,14,02448
MSDWild Few,2.721,3,5,7,01191
MSDWild Few,0.421,3,0,6,01257
MSDWild Few,1.381,3,29,2,02897
MSDWild Few,0.782,2,0,35,00700
MSDWild Few,0.727,3,5,16,00689
MSDWild Few,1.156,2,1,2,02433
MSDWild Few,1.579,3,5,17,02394
MSDWild Few,0.444,2,18,11,01281
MSDWild Few,0.765,4,11,3,00242
MSDWild Few,0.682,4,10,7,02176
MSDWild Few,0.366,2,0,14,01198
MSDWild Few,0.392,2,0,15,00948
MSDWild Few,0.62,2,2,21,02751
MSDWild Few,0.46,3,63,1,00465
MSDWild Few,0.749,2,6,5,00817
MSDWild Few,0.462,2,4,0,00313
MSDWild Few,0.446,3,0,13,03049
MSDWild Few,0.384,2,6,18,02899
MSDWild Few,0.517,3,25,2,01288
MSDWild Few,0.891,3,31,5,02848
MSDWild Few,0.4,2,0,9,00302
MSDWild Few,2.423,4,4,20,01542
MSDWild Few,0.713,2,5,6,02457
MSDWild Few,0.949,3,14,5,02036
MSDWild Few,1.715,2,8,18,00474
MSDWild Few,0.431,2,9,10,02663
MSDWild Few,0.521,3,7,2,01776
MSDWild Few,2.346,2,11,13,00925
MSDWild Few,1.081,2,3,18,00557
MSDWild Few,0.362,3,0,3,02906
MSDWild Few,0.798,2,0,17,01158
MSDWild Few,9.4,2,0,1,02508
MSDWild Few,0.344,2,0,27,02169
MSDWild Few,1.481,3,10,6,01124
MSDWild Few,0.409,3,6,10,01594
MSDWild Few,0.786,4,11,4,01290
MSDWild Few,0.431,2,9,10,01537
MSDWild Few,0.423,3,16,6,01945
MSDWild Few,0.416,3,4,24,02735
MSDWild Few,0.658,4,10,8,02881
MSDWild Few,0.907,2,1,19,02611
MSDWild Few,1.035,2,6,10,00282
MSDWild Few,0.342,2,0,43,00957
MSDWild Few,0.337,3,22,2,02974
MSDWild Few,1.399,3,3,10,01939
MSDWild Few,0.354,2,0,11,02749
MSDWild Few,1.031,2,6,27,01866
MSDWild Few,1.067,3,5,14,00635
MSDWild Few,2.61,2,6,9,02160
MSDWild Few,0.518,3,0,9,02459
MSDWild Few,0.401,2,0,13,00808
MSDWild Few,1.285,3,5,9,01180
MSDWild Few,1.281,3,3,20,01246
MSDWild Few,0.354,3,6,9,02293
MSDWild Few,0.503,4,15,4,00433
MSDWild Few,0.811,2,3,22,01273
MSDWild Few,0.399,3,5,12,01274
MSDWild Few,0.411,4,49,3,00342
MSDWild Few,2.695,2,45,2,00897
MSDWild Few,0.467,4,7,10,02624
MSDWild Few,0.668,3,0,14,03064
MSDWild Few,0.461,4,3,9,01731
MSDWild Few,6.276,2,7,26,00029
MSDWild Few,1.473,2,1,19,01826
MSDWild Few,1.126,3,2,21,02590
MSDWild Few,5.813,2,1,3,00562
MSDWild Few,0.409,2,9,18,02817
MSDWild Few,0.53,3,0,2,02465
MSDWild Few,1.442,2,2,28,02314
MSDWild Few,0.82,2,2,13,03135
MSDWild Few,0.53,4,10,2,01660
MSDWild Few,0.337,4,25,2,00756
MSDWild Few,0.37,2,0,6,01032
MSDWild Few,1.456,2,0,27,02680
MSDWild Few,0.522,2,3,1,02127
MSDWild Few,0.65,3,2,14,02934
MSDWild Few,1.276,2,43,0,01325
MSDWild Few,0.704,2,0,13,00917
MSDWild Few,1.805,2,2,25,00104
MSDWild Few,0.337,2,8,27,02905
MSDWild Few,3.024,2,3,37,00585
MSDWild Few,1.173,2,2,9,00222
MSDWild Few,0.636,2,0,39,02359
MSDWild Few,3.631,2,7,16,01230
MSDWild Few,5.045,3,10,15,02325
MSDWild Few,0.668,2,0,23,02035
MSDWild Few,0.672,2,6,20,02743
MSDWild Few,0.378,4,0,6,01772
MSDWild Few,0.79,3,2,15,00695
MSDWild Few,0.461,4,6,11,00225
MSDWild Few,2.168,2,9,14,02049
MSDWild Few,5.14,2,3,12,02098
MSDWild Few,0.543,2,14,10,01700
MSDWild Few,1.051,3,8,14,03055
MSDWild Few,3.525,4,2,27,00636
MSDWild Few,1.513,2,0,28,00982
MSDWild Few,0.424,2,3,12,02828
MSDWild Few,1.993,2,2,2,00479
MSDWild Few,1.627,2,2,38,02047
MSDWild Few,0.685,2,1,8,01152
MSDWild Few,0.515,3,0,6,02885
MSDWild Few,1.679,4,0,7,02731
MSDWild Few,1.374,4,12,5,00928
MSDWild Few,2.505,2,8,14,02386
MSDWild Few,0.341,3,7,17,02736
MSDWild Few,0.392,2,2,15,00954
MSDWild Few,1.033,4,25,13,00250
MSDWild Few,1.764,3,14,6,01548
MSDWild Few,0.55,2,1,44,01599
MSDWild Few,0.343,2,8,22,02866
MSDWild Few,1.214,2,0,7,00341
MSDWild Few,0.682,2,2,42,02942
MSDWild Few,0.459,2,32,10,00604
MSDWild Few,0.77,2,3,9,01385
MSDWild Few,1.13,2,32,2,00603
MSDWild Few,0.69,2,1,11,01092
MSDWild Few,0.682,4,10,7,02187
MSDWild Few,0.824,2,5,30,02994
MSDWild Few,1.056,3,13,7,02241
MSDWild Few,0.418,3,0,3,02778
MSDWild Few,0.361,2,0,6,03138
MSDWild Few,0.409,3,6,10,02319
MSDWild Few,0.541,3,11,11,02365
MSDWild Few,0.375,2,5,8,01167
MSDWild Few,0.474,3,15,20,00080
MSDWild Few,0.644,3,0,10,02189
MSDWild Few,0.591,2,21,5,00493
MSDWild Few,0.806,3,1,15,01450
MSDWild Few,0.404,4,40,8,02683
MSDWild Few,0.58,4,8,11,01796
MSDWild Few,0.432,2,3,13,01031
MSDWild Few,0.587,4,2,5,01169
MSDWild Few,0.464,2,6,6,01457
MSDWild Few,0.676,2,12,12,01825
MSDWild Few,0.433,2,3,6,02123
MSDWild Few,0.337,4,25,2,01791
MSDWild Few,0.433,3,21,2,01740
MSDWild Few,0.372,3,6,9,01321
MSDWild Few,5.521,2,1,13,01859
MSDWild Few,0.404,3,2,16,02629
MSDWild Few,0.575,2,0,13,01888
MSDWild Few,0.336,2,0,41,01664
MSDWild Few,0.535,3,0,6,00428
MSDWild Few,0.411,3,0,11,01330
MSDWild Few,0.412,2,5,12,00902
MSDWild Few,0.639,2,13,5,01834
MSDWild Few,0.775,4,0,7,00743
MSDWild Few,1.023,3,11,16,02301
MSDWild Few,0.739,3,1,10,03078
MSDWild Few,0.365,2,4,36,01899
MSDWild Few,0.416,2,3,7,01848
MSDWild Few,22.008,2,5,21,02470
MSDWild Few,0.354,2,0,4,01672
MSDWild Few,0.749,2,0,18,00979
MSDWild Few,3.092,2,2,12,01178
MSDWild Few,1.073,2,0,30,01441
MSDWild Few,1.201,2,4,8,00660
MSDWild Few,1.136,2,1,15,02135
MSDWild Few,0.474,2,2,11,02692
MSDWild Few,6.402,3,4,20,02631
MSDWild Few,0.36,2,14,13,01433
MSDWild Few,1.335,3,3,22,02147
MSDWild Few,0.458,2,3,5,00882
MSDWild Few,0.919,3,8,7,00091
MSDWild Few,0.451,2,0,17,02374
MSDWild Few,0.343,2,4,16,00386
MSDWild Few,0.788,2,1,4,02405
MSDWild Few,0.676,2,13,12,01607
MSDWild Few,0.536,2,4,0,02373
MSDWild Few,0.382,2,0,6,01266
MSDWild Few,1.053,3,8,8,01499
MSDWild Few,1.277,2,4,20,00208
MSDWild Few,1.4,2,3,7,00669
MSDWild Few,1.38,3,2,17,01342
MSDWild Few,0.359,2,8,6,01195
MSDWild Few,0.469,2,25,5,02109
MSDWild Few,0.517,2,5,11,00778
MSDWild Few,2.175,2,2,20,00994
MSDWild Few,0.586,4,19,9,02262
MSDWild Few,0.445,3,5,3,03043
MSDWild Few,0.338,2,12,9,01228
MSDWild Few,0.471,2,5,13,00180
MSDWild Few,0.415,2,1,40,00246
MSDWild Few,0.358,2,18,4,01874
MSDWild Few,0.882,2,2,11,02513
MSDWild Few,1.137,2,8,11,02265
MSDWild Few,0.43,3,9,4,01370
MSDWild Few,0.421,2,0,22,00297
MSDWild Few,0.852,2,6,31,00942
MSDWild Few,12.228,4,10,34,02678
MSDWild Few,0.684,2,5,10,01226
MSDWild Few,0.78,3,0,4,01763
