Data Set,Duration,Speakers,Overlapping Speech,SNR,File
MSDWild Many,2.206,5,11,10,00816
MSDWild Many,0.471,6,12,4,01803
MSDWild Many,0.363,5,0,-1,00070
MSDWild Many,0.959,5,13,6,01984
MSDWild Many,0.54,5,14,16,00128
MSDWild Many,13.889,5,0,11,01065
MSDWild Many,1.224,5,10,11,01372
MSDWild Many,1.18,5,10,-1,00077
MSDWild Many,0.413,5,12,4,01340
MSDWild Many,0.99,6,9,3,02409
MSDWild Many,0.657,5,21,15,02130
MSDWild Many,0.431,5,7,3,00746
MSDWild Many,0.374,6,37,3,00823
MSDWild Many,0.436,7,39,4,00179
MSDWild Many,0.977,9,7,10,03010
MSDWild Many,0.37,6,4,6,02418
MSDWild Many,0.589,5,9,13,00269
MSDWild Many,1.407,5,0,15,00392
MSDWild Many,1.012,5,12,18,03141
MSDWild Many,0.655,5,23,9,01097
MSDWild Many,5.171,5,0,12,02243
MSDWild Many,1.613,5,1,16,00840
MSDWild Many,0.62,5,0,13,00523
MSDWild Many,0.38,5,7,7,01008
MSDWild Many,0.407,6,39,10,01247
MSDWild Many,1.206,5,2,4,02329
MSDWild Many,2.373,6,3,7,00646
MSDWild Many,3.489,5,11,9,01265
MSDWild Many,1.766,6,52,9,02808
MSDWild Many,0.89,5,8,-1,02846
MSDWild Many,0.494,5,7,7,01521
MSDWild Many,1.953,6,24,12,00548
MSDWild Many,0.527,5,0,15,02339
MSDWild Many,0.595,6,6,13,01011
MSDWild Many,0.592,9,11,19,00934
MSDWild Many,0.459,6,7,7,00004
MSDWild Many,1.765,6,9,1,02497
MSDWild Many,0.436,7,39,4,02446
MSDWild Many,0.349,7,5,5,00656
MSDWild Many,1.664,5,1,23,02825
MSDWild Many,0.373,5,26,5,00131
MSDWild Many,0.471,5,63,-2,01771
MSDWild Many,0.491,5,1,18,00401
MSDWild Many,2.293,6,17,14,01703
MSDWild Many,0.359,8,11,3,00254
MSDWild Many,0.372,8,43,1,02242
MSDWild Many,1.604,8,11,9,01118
MSDWild Many,0.885,6,22,3,02707
MSDWild Many,0.69,5,25,1,02071
MSDWild Many,0.694,5,37,1,02239
MSDWild Many,0.377,8,28,5,00055
MSDWild Many,2.825,5,14,11,02541
MSDWild Many,0.437,4,6,2,00780
MSDWild Many,0.397,5,26,3,01111
MSDWild Many,0.389,5,57,-3,00554
MSDWild Many,0.389,8,30,10,00692
MSDWild Many,0.409,7,32,6,02116
MSDWild Many,1.061,4,5,3,01003
MSDWild Many,1.031,9,4,1,01368
MSDWild Many,0.371,7,13,3,02795
MSDWild Many,0.676,5,13,4,00760
MSDWild Many,0.418,6,32,-2,01865
MSDWild Many,2.621,5,5,3,02040
MSDWild Many,1.656,5,10,5,01242
MSDWild Many,1.399,8,10,11,02180
MSDWild Many,1.031,5,7,4,00727
MSDWild Many,0.546,5,0,-1,01663
MSDWild Many,0.938,5,56,7,01036
MSDWild Many,0.432,5,0,16,00783
MSDWild Many,0.607,6,3,13,01497
MSDWild Many,20.0,6,0,22,00206
MSDWild Many,1.517,5,7,13,01104
MSDWild Many,0.922,5,12,7,01337
MSDWild Many,0.491,7,36,7,02250
MSDWild Many,0.642,5,18,1,01345
MSDWild Many,0.44,5,37,-3,02870
MSDWild Many,0.342,6,0,10,01261
MSDWild Many,0.406,3,32,2,02712
MSDWild Many,0.357,5,6,-1,01434
MSDWild Many,0.588,5,0,7,01253
MSDWild Many,0.576,5,2,9,01559
MSDWild Many,1.471,5,8,9,03031
MSDWild Many,1.362,5,2,2,01691
MSDWild Many,0.621,5,28,8,00776
MSDWild Many,0.564,5,11,10,00059
MSDWild Many,1.008,5,14,4,01662
MSDWild Many,0.517,9,0,2,00398
MSDWild Many,0.766,5,2,2,01166
MSDWild Many,0.824,4,2,12,00340
MSDWild Many,2.046,5,4,22,00721
MSDWild Many,0.921,5,11,10,01596
MSDWild Many,0.558,6,22,8,01641
MSDWild Many,0.55,5,3,12,03114
MSDWild Many,0.39,6,42,14,00777
MSDWild Many,1.045,8,6,8,02443
MSDWild Many,0.374,5,37,3,01068
MSDWild Many,0.505,9,14,6,00008
MSDWild Many,0.47,7,12,5,02895
MSDWild Many,0.371,6,13,3,02436
MSDWild Many,1.565,8,16,7,00938
MSDWild Many,13.854,5,3,12,00884
MSDWild Many,0.494,9,2,15,01267
MSDWild Many,0.417,7,45,3,00162
MSDWild Many,0.687,5,0,25,01491
MSDWild Many,0.777,6,0,6,02878
MSDWild Many,1.036,9,5,7,02552
