D,Spk,OS,SNR,DER
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],10.71
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],4.722
(34.87 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 16.0],17.629
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],7.147
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],13.741
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],17.174
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],12.692
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],19.9
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],17.393
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(16.0 - 20.0],5.881
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],9.754
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],11.396
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],12.171
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],11.791
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],2.814
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],16.464
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],5.439
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],12.932
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],12.247
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],11.706
(5.318 - 18.792],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],26.217
(34.87 - 95.677],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],26.784
(18.792 - 30.494],(3 - 4],(9.0 - 14.0],(24.8 - 29.0],30.726
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],16.299
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],17.285
(34.87 - 95.677],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],15.963
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],31.395
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],23.669
(34.87 - 95.677],(2 - 3],(9.0 - 14.0],(29.0 - 35.0],26.436
(18.792 - 30.494],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],12.918
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],16.577
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],20.737
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],33.937
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],24.008
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(20.0 - 24.8],27.705
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(24.8 - 29.0],16.781
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],16.934
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],14.81
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],12.32
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],4.286
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],32.392
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],24.634
(1.071 - 2.033],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],5.462
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],5.921
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],0.559
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],6.243
(2.033 - 5.318],(4 - 5],(5.0 - 9.0],(29.0 - 35.0],8.909
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],11.158
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],6.774
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],3.603
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],16.564
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],5.589
(2.033 - 5.318],(10 - 41],(5.0 - 9.0],(16.0 - 20.0],45.811
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(29.0 - 35.0],3.852
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],6.974
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],4.653
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],5.042
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(24.8 - 29.0],10.309
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(13.0 - 16.0],1.471
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],8.612
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],8.255
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],9.983
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],9.357
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],12.08
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],20.763
(18.792 - 30.494],(10 - 41],(3.0 - 5.0],(13.0 - 16.0],10.496
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],8.752
