D,Spk,OS,SNR,DER
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],63.261
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],18.26
(34.87 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 16.0],29.755
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],50.644
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],71.508
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],85.993
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],22.875
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],60.207
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],58.335
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(16.0 - 20.0],22.484
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],50.296
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],25.478
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],45.497
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],63.576
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],19.541
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],72.78
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],19.72
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],62.381
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],48.456
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],27.206
(5.318 - 18.792],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],35.492
(34.87 - 95.677],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],34.082
(18.792 - 30.494],(3 - 4],(9.0 - 14.0],(24.8 - 29.0],38.634
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],20.306
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],27.655
(34.87 - 95.677],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],24.909
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],40.656
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],29.95
(34.87 - 95.677],(2 - 3],(9.0 - 14.0],(29.0 - 35.0],33.504
(18.792 - 30.494],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],17.306
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],25.608
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],26.259
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],42.908
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],31.857
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(20.0 - 24.8],37.707
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(24.8 - 29.0],25.514
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],37.859
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],17.841
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],27.348
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],5.073
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],28.424
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],22.322
(1.071 - 2.033],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],28.329
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],21.426
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],0.717
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],7.65
(2.033 - 5.318],(4 - 5],(5.0 - 9.0],(29.0 - 35.0],29.991
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],21.157
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],10.725
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.382
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],16.442
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],4.663
(2.033 - 5.318],(10 - 41],(5.0 - 9.0],(16.0 - 20.0],29.069
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(29.0 - 35.0],15.233
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],5.862
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],5.872
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],18.913
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(24.8 - 29.0],12.438
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(13.0 - 16.0],7.689
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],23.668
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],50.077
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],13.086
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],11.89
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],24.054
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],22.197
