D,Spk,OS,SNR,DER
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],39.497
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],14.913
(34.87 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 16.0],38.925
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],41.394
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],48.285
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],51.7
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],27.311
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],52.161
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],43.832
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(16.0 - 20.0],22.274
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],27.528
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],24.835
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],38.492
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],50.607
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],12.896
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],55.364
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],17.252
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],52.145
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],43.684
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],25.414
(5.318 - 18.792],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],42.174
(34.87 - 95.677],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],39.388
(18.792 - 30.494],(3 - 4],(9.0 - 14.0],(24.8 - 29.0],50.171
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],24.144
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],33.781
(34.87 - 95.677],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],30.159
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],51.094
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],37.055
(34.87 - 95.677],(2 - 3],(9.0 - 14.0],(29.0 - 35.0],42.502
(18.792 - 30.494],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],21.618
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],33.602
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],33.514
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],55.613
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],42.642
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(20.0 - 24.8],45.672
