D,Spk,OS,SNR,DER
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],76.325
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],57.846
(34.876 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 17.0],71.18
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],68.996
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],66.288
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 8.0],71.286
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],67.621
(34.876 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 8.0],88.152
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 8.0],75.372
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],71.406
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(8.0 - 10.0],49.044
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],70.908
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],66.774
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],62.654
(34.876 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 8.0],79.596
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(21.0 - 25.0],60.855
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 8.0],91.116
(34.876 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],67.335
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],72.924
(11.811 - 20.001],(3 - 4],(3.0 - 5.0],(17.0 - 21.0],94.14
(34.876 - 95.677],(3 - 4],(2.0 - 3.0],(21.0 - 25.0],103.916
(20.001 - 31.029],(3 - 4],(13.0 - 63.0],(25.0 - 29.0],84.715
(31.029 - 34.876],(3 - 4],(3.0 - 5.0],(21.0 - 25.0],81.768
(34.876 - 95.677],(3 - 4],[0.0 - 1.0],(21.0 - 25.0],100.781
(34.876 - 95.677],(3 - 4],(3.0 - 5.0],(21.0 - 25.0],71.079
(34.876 - 95.677],(3 - 4],(13.0 - 63.0],(25.0 - 29.0],80.701
(11.811 - 20.001],(3 - 4],(5.0 - 8.0],(17.0 - 21.0],106.561
(34.876 - 95.677],(2 - 3],(8.0 - 13.0],(29.0 - 36.0],79.169
(20.001 - 31.029],(3 - 4],(2.0 - 3.0],(21.0 - 25.0],83.737
(34.876 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 36.0],91.94
(31.029 - 34.876],(3 - 4],(3.0 - 5.0],(21.0 - 25.0],92.752
