D,Spk,OS,SNR,JER
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],16.531
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],5.664
(34.87 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 16.0],27.161
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],13.312
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],15.473
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],18.163
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],18.687
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],24.313
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],19.234
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(16.0 - 20.0],7.716
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],19.85
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],11.636
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],30.644
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],16.154
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],2.909
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],24.837
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],9.093
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],18.429
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],28.311
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],15.78
(5.318 - 18.792],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],30.249
(34.87 - 95.677],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],32.539
(18.792 - 30.494],(3 - 4],(9.0 - 14.0],(24.8 - 29.0],36.355
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],17.845
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],17.204
(34.87 - 95.677],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],17.776
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],35.327
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],37.859
(34.87 - 95.677],(2 - 3],(9.0 - 14.0],(29.0 - 35.0],27.521
(18.792 - 30.494],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],15.126
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],17.799
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],29.86
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],37.535
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],30.471
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(20.0 - 24.8],60.916
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(24.8 - 29.0],18.118
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],50.887
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],67.321
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],32.604
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],4.283
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],70.359
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],33.232
(1.071 - 2.033],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],10.88
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],5.397
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],1.617
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],59.527
(2.033 - 5.318],(4 - 5],(5.0 - 9.0],(29.0 - 35.0],28.012
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],16.074
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],12.61
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],4.558
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],14.3
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],36.513
(2.033 - 5.318],(10 - 41],(5.0 - 9.0],(16.0 - 20.0],74.062
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(29.0 - 35.0],5.02
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.778
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],6.101
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],15.72
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(24.8 - 29.0],9.522
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(13.0 - 16.0],2.866
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],7.867
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],18.967
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],52.496
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],8.238
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],24.603
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],53.557
(18.792 - 30.494],(10 - 41],(3.0 - 5.0],(13.0 - 16.0],16.255
