D,Spk,OS,SNR,JER
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],68.742
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],24.037
(34.87 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 16.0],48.271
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],49.849
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],87.202
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],94.144
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],31.537
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],76.237
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],70.154
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(16.0 - 20.0],27.62
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],45.603
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],27.643
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],62.162
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],78.458
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],24.852
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],78.956
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],28.718
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],82.017
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],63.17
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],33.463
(5.318 - 18.792],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],40.133
(34.87 - 95.677],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],38.342
(18.792 - 30.494],(3 - 4],(9.0 - 14.0],(24.8 - 29.0],40.798
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],20.999
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],27.063
(34.87 - 95.677],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],25.493
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],42.564
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],42.896
(34.87 - 95.677],(2 - 3],(9.0 - 14.0],(29.0 - 35.0],34.025
(18.792 - 30.494],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],18.132
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],26.044
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],34.302
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],44.723
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],35.295
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(20.0 - 24.8],68.072
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(24.8 - 29.0],26.083
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],75.946
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],77.493
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],69.64
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],4.912
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],81.909
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],27.343
(1.071 - 2.033],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],26.965
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],21.358
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],1.641
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],58.294
(2.033 - 5.318],(4 - 5],(5.0 - 9.0],(29.0 - 35.0],36.229
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],37.487
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],24.54
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.963
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],15.22
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],20.852
(2.033 - 5.318],(10 - 41],(5.0 - 9.0],(16.0 - 20.0],48.926
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(29.0 - 35.0],24.7
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],6.208
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],19.359
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],38.817
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(24.8 - 29.0],11.254
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(13.0 - 16.0],35.623
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],19.165
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],96.204
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],55.651
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],21.71
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],66.567
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],47.926
(18.792 - 30.494],(10 - 41],(3.0 - 5.0],(13.0 - 16.0],95.445
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.225
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],67.273
(5.318 - 18.792],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],27.833
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],49.052
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],20.121
(18.792 - 30.494],(10 - 41],(1.0 - 2.0],(29.0 - 35.0],24.365
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],72.424
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],7.802
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],79.667
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],74.808
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.095
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],94.828
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],58.836
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],13.206
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],35.777
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],59.58
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],65.545
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],13.795
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.696
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],50.661
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(29.0 - 35.0],5.015
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],35.704
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],31.061
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],19.652
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],87.109
(2.033 - 5.318],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],26.909
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(24.8 - 29.0],37.498
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],36.138
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],14.732
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(29.0 - 35.0],70.345
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(16.0 - 20.0],8.183
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],28.165
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],2.512
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],15.04
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],26.201
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],34.29
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],81.51
(1.071 - 2.033],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],74.172
(2.033 - 5.318],(3 - 4],(2.0 - 3.0],(24.8 - 29.0],36.31
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],89.202
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],17.443
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(20.0 - 24.8],49.225
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],8.542
(1.071 - 2.033],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],26.618
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],7.374
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],6.588
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],49.978
(0.522 - 0.713],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],28.51
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],66.062
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],46.312
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(13.0 - 16.0],7.193
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],39.981
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],38.9
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],49.289
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(13.0 - 16.0],34.79
(5.318 - 18.792],(10 - 41],(3.0 - 5.0],(16.0 - 20.0],73.542
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],9.602
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],10.126
(18.792 - 30.494],[1 - 2],(9.0 - 14.0],(35.0 - 59.0],16.506
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],23.304
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],79.561
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],15.581
(18.792 - 30.494],(7 - 10],(3.0 - 5.0],(35.0 - 59.0],10.876
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],31.324
(5.318 - 18.792],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],43.198
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(35.0 - 59.0],5.229
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],52.979
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],76.274
(18.792 - 30.494],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],50.49
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],11.53
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],50.673
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],65.821
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],69.645
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.461
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],7.748
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(20.0 - 24.8],37.709
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],5.763
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],41.732
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(10.0 - 13.0],54.82
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],43.335
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],62.384
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(16.0 - 20.0],4.625
(18.792 - 30.494],(5 - 7],(9.0 - 14.0],(24.8 - 29.0],67.457
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],45.726
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],59.789
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],19.307
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],19.958
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],86.911
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],8.781
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],7.787
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(24.8 - 29.0],73.156
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(16.0 - 20.0],35.372
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(16.0 - 20.0],59.504
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],7.341
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],71.348
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],2.188
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],10.076
(2.033 - 5.318],(7 - 10],(1.0 - 2.0],(24.8 - 29.0],59.273
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],90.7
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],59.783
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(20.0 - 24.8],58.282
(5.318 - 18.792],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],58.707
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.95
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],89.755
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],34.339
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],61.425
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],68.05
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],79.613
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(10.0 - 13.0],54.833
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],40.737
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],22.376
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(29.0 - 35.0],6.917
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],87.197
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],17.075
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],3.471
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(7.0 - 10.0],87.985
(5.318 - 18.792],(5 - 7],(1.0 - 2.0],(20.0 - 24.8],60.911
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],24.825
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],19.785
(2.033 - 5.318],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],13.037
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(20.0 - 24.8],53.588
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(24.8 - 29.0],24.804
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],79.802
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(13.0 - 16.0],77.75
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],41.033
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],85.527
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],6.512
(2.033 - 5.318],(4 - 5],(2.0 - 3.0],(29.0 - 35.0],49.484
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],10.863
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.686
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],46.187
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],25.614
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],24.899
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],78.474
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],68.103
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],70.673
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],12.806
(18.792 - 30.494],(5 - 7],(2.0 - 3.0],(16.0 - 20.0],8.28
(18.792 - 30.494],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],57.237
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],55.951
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(35.0 - 59.0],44.995
(5.318 - 18.792],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],25.573
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],10.984
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(24.8 - 29.0],59.967
(5.318 - 18.792],(7 - 10],(5.0 - 9.0],(24.8 - 29.0],82.08
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(24.8 - 29.0],54.581
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],37.871
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(20.0 - 24.8],87.252
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(24.8 - 29.0],69.8
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(29.0 - 35.0],79.609
(2.033 - 5.318],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],61.949
(5.318 - 18.792],(5 - 7],(2.0 - 3.0],(24.8 - 29.0],9.848
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],11.12
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(16.0 - 20.0],56.355
(2.033 - 5.318],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],28.279
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],36.459
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],45.931
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],5.97
