D,Spk,OS,SNR,JER
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],47.291
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],15.421
(34.87 - 95.677],(4 - 5],(2.0 - 3.0],(13.0 - 16.0],56.522
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],65.249
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],37.553
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],48.217
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],34.372
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],51.397
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(4.0 - 7.0],55.061
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(16.0 - 20.0],20.463
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],25.643
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],24.815
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],64.077
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(4.0 - 7.0],53.131
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],13.239
(34.87 - 95.677],(5 - 7],(2.0 - 3.0],(4.0 - 7.0],58.547
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],19.898
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],72.708
(34.87 - 95.677],(5 - 7],(1.0 - 2.0],(10.0 - 13.0],55.819
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],30.785
(5.318 - 18.792],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],45.943
(34.87 - 95.677],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],43.123
(18.792 - 30.494],(3 - 4],(9.0 - 14.0],(24.8 - 29.0],52.613
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],24.55
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],33.004
(34.87 - 95.677],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],29.93
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],52.486
(5.318 - 18.792],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],49.737
(34.87 - 95.677],(2 - 3],(9.0 - 14.0],(29.0 - 35.0],42.596
(18.792 - 30.494],(3 - 4],(2.0 - 3.0],(20.0 - 24.8],22.638
(34.87 - 95.677],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],32.8
(30.494 - 34.87],(3 - 4],(3.0 - 5.0],(20.0 - 24.8],39.371
(34.87 - 95.677],(3 - 4],(14.0 - 93.0],(24.8 - 29.0],57.299
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(20.0 - 24.8],45.428
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(20.0 - 24.8],68.542
(34.87 - 95.677],(3 - 4],(5.0 - 9.0],(24.8 - 29.0],31.312
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],55.482
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],65.347
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],4.222
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.203
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],83.929
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],28.347
(1.071 - 2.033],(2 - 3],(14.0 - 93.0],(16.0 - 20.0],24.765
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],89.109
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],2.586
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],9.629
(2.033 - 5.318],(4 - 5],(5.0 - 9.0],(29.0 - 35.0],35.529
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],15.251
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],11.503
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],8.772
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],19.505
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],19.883
(2.033 - 5.318],(10 - 41],(5.0 - 9.0],(16.0 - 20.0],49.848
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(29.0 - 35.0],24.917
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.007
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],20.344
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],17.274
(18.792 - 30.494],(5 - 7],(1.0 - 2.0],(24.8 - 29.0],12.384
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(13.0 - 16.0],11.472
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],17.265
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],21.22
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],54.903
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],21.373
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],34.366
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(20.0 - 24.8],48.5
(18.792 - 30.494],(10 - 41],(3.0 - 5.0],(13.0 - 16.0],95.647
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.822
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],53.947
(5.318 - 18.792],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],30.343
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],44.223
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],19.366
(18.792 - 30.494],(10 - 41],(1.0 - 2.0],(29.0 - 35.0],25.735
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],75.811
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],9.127
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],24.143
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],25.946
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.192
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],62.785
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],35.891
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],11.615
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],34.687
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],60.53
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],63.408
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],13.128
