Dataset,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,2.1,Global,DER,0.17005,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Global,JER,0.20394,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Global,Purity,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Global,Coverage,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,2.1,Global,DER,0.40842,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Global,JER,0.605,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Global,Purity,0.70416,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Global,Coverage,0.8179,WhisperX,L_R003S03C02
AISHELL-4,,2.1,Global,DER,0.54499,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Global,JER,0.61335,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Global,Purity,0.63398,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Global,Coverage,0.7892,WhisperX,M_R003S04C01
AISHELL-4,,2.1,Global,DER,0.18835,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Global,JER,0.27607,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Global,Purity,0.92343,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Global,Coverage,0.97291,WhisperX,L_R004S06C01
AISHELL-4,,2.1,Global,DER,0.28243,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Global,JER,0.35644,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Global,Purity,0.81727,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Global,Coverage,0.81727,WhisperX,M_R003S02C01
AISHELL-4,,2.1,Global,DER,0.10101,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Global,JER,0.11235,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Global,Purity,0.9962,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Global,Coverage,0.9962,WhisperX,S_R004S03C01
AISHELL-4,,2.1,Global,DER,0.40489,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Global,JER,0.55416,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Global,Purity,0.70383,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Global,Coverage,0.71414,WhisperX,L_R003S01C02
AISHELL-4,,2.1,Global,DER,0.30688,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Global,JER,0.5436,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Global,Purity,0.75059,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Global,Coverage,0.77161,WhisperX,L_R004S03C01
AISHELL-4,,2.1,Global,DER,0.48311,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Global,JER,0.52125,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Global,Purity,0.65256,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Global,Coverage,0.82469,WhisperX,M_R003S05C01
AISHELL-4,,2.1,Global,DER,0.24646,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Global,JER,0.42734,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Global,Purity,0.86793,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Global,Coverage,0.8974,WhisperX,L_R004S01C01
AISHELL-4,,2.1,Global,DER,0.22418,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Global,JER,0.32247,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Global,Purity,0.87493,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Global,Coverage,0.87493,WhisperX,S_R003S01C01
AISHELL-4,,2.1,Global,DER,0.33503,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Global,JER,0.57559,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Global,Purity,0.75423,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Global,Coverage,0.76862,WhisperX,L_R004S02C01
AISHELL-4,,2.1,Global,DER,0.29029,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Global,JER,0.44235,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Global,Purity,0.82116,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Global,Coverage,0.95615,WhisperX,S_R003S02C01
AISHELL-4,,2.1,Global,DER,0.3579,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Global,JER,0.44041,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Global,Purity,0.7857,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Global,Coverage,0.87092,WhisperX,M_R003S01C01
AISHELL-4,,2.1,Global,DER,0.14677,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Global,JER,0.19623,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Global,Purity,0.96518,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Global,Coverage,0.96518,WhisperX,S_R004S02C01
AISHELL-4,,2.1,Global,DER,0.23027,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Global,JER,0.26014,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Global,Purity,0.90766,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Global,Coverage,0.90766,WhisperX,S_R003S03C01
AISHELL-4,,2.1,Global,DER,0.12853,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Global,JER,0.14012,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Global,Purity,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Global,Coverage,0.97916,WhisperX,S_R004S04C01
AISHELL-4,,2.1,Global,DER,0.39102,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,JER,0.47688,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,Purity,0.7728,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,Coverage,0.9174,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,DER,0.39944,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,JER,0.47853,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,Purity,0.73278,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,Coverage,0.91741,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,DER,0.41149,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Global,JER,0.59376,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Global,Purity,0.65851,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Global,Coverage,0.80167,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Global,DER,0.17257,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,JER,0.20507,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,Purity,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,Coverage,0.96586,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,DER,0.40547,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,JER,0.56887,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,Purity,0.70751,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,Coverage,0.81147,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,DER,0.46297,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,JER,0.47686,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,Purity,0.72719,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,Coverage,0.72719,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,DER,0.18831,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,JER,0.27519,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,Purity,0.92346,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,Coverage,0.97294,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,DER,0.28292,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Global,JER,0.35873,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Global,Purity,0.81673,WhisperX,M_R003S02C01
