Dataset,Set,Approach,Metric,Value,Method,File
AISHELL-4,,Baseline,DER,0.71406,,S_R004S01C01
AISHELL-4,,Baseline,JER,0.67124,,S_R004S01C01
AISHELL-4,,Baseline,Purity,0.70374,,S_R004S01C01
AISHELL-4,,Baseline,Coverage,0.40662,,S_R004S01C01
AISHELL-4,,Baseline,DER,0.75372,,L_R003S03C02
AISHELL-4,,Baseline,JER,0.78002,,L_R003S03C02
AISHELL-4,,Baseline,Purity,0.48656,,L_R003S03C02
AISHELL-4,,Baseline,Coverage,0.3154,,L_R003S03C02
AISHELL-4,,Baseline,DER,0.88152,,M_R003S04C01
AISHELL-4,,Baseline,JER,0.82028,,M_R003S04C01
AISHELL-4,,Baseline,Purity,0.54314,,M_R003S04C01
AISHELL-4,,Baseline,Coverage,0.34383,,M_R003S04C01
AISHELL-4,,Baseline,DER,0.49044,,L_R004S06C01
AISHELL-4,,Baseline,JER,0.55367,,L_R004S06C01
AISHELL-4,,Baseline,Purity,0.69671,,L_R004S06C01
AISHELL-4,,Baseline,Coverage,0.60487,,L_R004S06C01
AISHELL-4,,Baseline,DER,0.62654,,M_R003S02C01
AISHELL-4,,Baseline,JER,0.72751,,M_R003S02C01
AISHELL-4,,Baseline,Purity,0.66637,,M_R003S02C01
AISHELL-4,,Baseline,Coverage,0.45119,,M_R003S02C01
AISHELL-4,,Baseline,DER,0.79596,,L_R003S01C02
AISHELL-4,,Baseline,JER,0.80901,,L_R003S01C02
AISHELL-4,,Baseline,Purity,0.55028,,L_R003S01C02
AISHELL-4,,Baseline,Coverage,0.32268,,L_R003S01C02
AISHELL-4,,Baseline,DER,0.67335,,L_R004S03C01
AISHELL-4,,Baseline,JER,0.80896,,L_R004S03C01
AISHELL-4,,Baseline,Purity,0.6339,,L_R004S03C01
AISHELL-4,,Baseline,Coverage,0.37891,,L_R004S03C01
AISHELL-4,,Baseline,DER,0.71286,,M_R003S05C01
AISHELL-4,,Baseline,JER,0.7096,,M_R003S05C01
AISHELL-4,,Baseline,Purity,0.58721,,M_R003S05C01
AISHELL-4,,Baseline,Coverage,0.40293,,M_R003S05C01
AISHELL-4,,Baseline,DER,0.68996,,L_R004S01C01
AISHELL-4,,Baseline,JER,0.7691,,L_R004S01C01
AISHELL-4,,Baseline,Purity,0.68625,,L_R004S01C01
AISHELL-4,,Baseline,Coverage,0.41043,,L_R004S01C01
AISHELL-4,,Baseline,DER,0.67621,,S_R003S01C01
AISHELL-4,,Baseline,JER,0.66556,,S_R003S01C01
AISHELL-4,,Baseline,Purity,0.66341,,S_R003S01C01
AISHELL-4,,Baseline,Coverage,0.41584,,S_R003S01C01
AISHELL-4,,Baseline,DER,0.66774,,L_R004S02C01
AISHELL-4,,Baseline,JER,0.79254,,L_R004S02C01
AISHELL-4,,Baseline,Purity,0.6456,,L_R004S02C01
