Data Set,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,2.1,Global,DER,0.05218,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Global,JER,0.06332,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Global,Purity,0.97827,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Global,Coverage,0.97247,PyAnnote,S_R004S01C01
AISHELL-4,,2.1,Global,DER,0.17905,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Global,JER,0.19819,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Global,Purity,0.78443,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Global,Coverage,0.77439,PyAnnote,L_R003S03C02
AISHELL-4,,2.1,Global,DER,0.37608,PyAnnote,M_R003S04C01
AISHELL-4,,2.1,Global,JER,0.52423,PyAnnote,M_R003S04C01
AISHELL-4,,2.1,Global,Purity,0.66103,PyAnnote,M_R003S04C01
AISHELL-4,,2.1,Global,Coverage,0.81093,PyAnnote,M_R003S04C01
AISHELL-4,,2.1,Global,DER,0.09533,PyAnnote,L_R004S06C01
AISHELL-4,,2.1,Global,JER,0.20021,PyAnnote,L_R004S06C01
AISHELL-4,,2.1,Global,Purity,0.93361,PyAnnote,L_R004S06C01
AISHELL-4,,2.1,Global,Coverage,0.9927,PyAnnote,L_R004S06C01
AISHELL-4,,2.1,Global,DER,0.12988,PyAnnote,M_R003S02C01
AISHELL-4,,2.1,Global,JER,0.13943,PyAnnote,M_R003S02C01
AISHELL-4,,2.1,Global,Purity,0.8434,PyAnnote,M_R003S02C01
AISHELL-4,,2.1,Global,Coverage,0.8376,PyAnnote,M_R003S02C01
AISHELL-4,,2.1,Global,DER,0.02471,PyAnnote,S_R004S03C01
AISHELL-4,,2.1,Global,JER,0.02691,PyAnnote,S_R004S03C01
AISHELL-4,,2.1,Global,Purity,0.99919,PyAnnote,S_R004S03C01
AISHELL-4,,2.1,Global,Coverage,0.99919,PyAnnote,S_R004S03C01
AISHELL-4,,2.1,Global,DER,0.39787,PyAnnote,L_R003S01C02
AISHELL-4,,2.1,Global,JER,0.4764,PyAnnote,L_R003S01C02
AISHELL-4,,2.1,Global,Purity,0.61497,PyAnnote,L_R003S01C02
AISHELL-4,,2.1,Global,Coverage,0.7979,PyAnnote,L_R003S01C02
AISHELL-4,,2.1,Global,DER,0.12939,PyAnnote,L_R004S03C01
AISHELL-4,,2.1,Global,JER,0.30434,PyAnnote,L_R004S03C01
AISHELL-4,,2.1,Global,Purity,0.83262,PyAnnote,L_R004S03C01
AISHELL-4,,2.1,Global,Coverage,0.84829,PyAnnote,L_R004S03C01
AISHELL-4,,2.1,Global,DER,0.34808,PyAnnote,M_R003S05C01
AISHELL-4,,2.1,Global,JER,0.37832,PyAnnote,M_R003S05C01
AISHELL-4,,2.1,Global,Purity,0.68296,PyAnnote,M_R003S05C01
AISHELL-4,,2.1,Global,Coverage,0.8452,PyAnnote,M_R003S05C01
AISHELL-4,,2.1,Global,DER,0.11131,PyAnnote,L_R004S01C01
AISHELL-4,,2.1,Global,JER,0.24144,PyAnnote,L_R004S01C01
AISHELL-4,,2.1,Global,Purity,0.92021,PyAnnote,L_R004S01C01
AISHELL-4,,2.1,Global,Coverage,0.94633,PyAnnote,L_R004S01C01
AISHELL-4,,2.1,Global,DER,0.13239,PyAnnote,S_R003S01C01
AISHELL-4,,2.1,Global,JER,0.18054,PyAnnote,S_R003S01C01
AISHELL-4,,2.1,Global,Purity,0.89429,PyAnnote,S_R003S01C01
AISHELL-4,,2.1,Global,Coverage,0.89144,PyAnnote,S_R003S01C01
AISHELL-4,,2.1,Global,DER,0.16082,PyAnnote,L_R004S02C01
AISHELL-4,,2.1,Global,JER,0.44637,PyAnnote,L_R004S02C01
AISHELL-4,,2.1,Global,Purity,0.83614,PyAnnote,L_R004S02C01
AISHELL-4,,2.1,Global,Coverage,0.87133,PyAnnote,L_R004S02C01
AISHELL-4,,2.1,Global,DER,0.22003,PyAnnote,S_R003S02C01
AISHELL-4,,2.1,Global,JER,0.33942,PyAnnote,S_R003S02C01
AISHELL-4,,2.1,Global,Purity,0.81978,PyAnnote,S_R003S02C01
AISHELL-4,,2.1,Global,Coverage,0.93178,PyAnnote,S_R003S02C01
AISHELL-4,,2.1,Global,DER,0.13294,PyAnnote,M_R003S01C01
AISHELL-4,,2.1,Global,JER,0.15019,PyAnnote,M_R003S01C01
AISHELL-4,,2.1,Global,Purity,0.87721,PyAnnote,M_R003S01C01
AISHELL-4,,2.1,Global,Coverage,0.87176,PyAnnote,M_R003S01C01
AISHELL-4,,2.1,Global,DER,0.05477,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Global,JER,0.09082,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Global,Purity,0.97338,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Global,Coverage,0.9723,PyAnnote,S_R004S02C01
AISHELL-4,,2.1,Global,DER,0.13158,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Global,JER,0.13247,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Global,Purity,0.92954,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Global,Coverage,0.92268,PyAnnote,S_R003S03C01
AISHELL-4,,2.1,Global,DER,0.06255,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Global,JER,0.06652,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Global,Purity,0.98132,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Global,Coverage,0.98066,PyAnnote,S_R004S04C01
AISHELL-4,,2.1,Global,DER,0.2987,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Global,JER,0.38786,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Global,Purity,0.76233,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Global,Coverage,0.90416,PyAnnote,L_R003S04C02
AISHELL-4,,2.1,Global,DER,0.30113,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Global,JER,0.34946,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Global,Purity,0.73755,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Global,Coverage,0.92374,PyAnnote,L_R003S02C02
AISHELL-4,,2.1,Global,DER,0.29583,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Global,JER,0.43856,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Global,Purity,0.65681,PyAnnote,S_R003S04C01
AISHELL-4,,2.1,Global,Coverage,0.77747,PyAnnote,S_R003S04C01
AISHELL-4,,3.1,Global,DER,0.05881,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Global,JER,0.07716,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Global,Purity,0.97385,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Global,Coverage,0.97385,PyAnnote,S_R004S01C01
AISHELL-4,,3.1,Global,DER,0.25664,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Global,JER,0.34432,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Global,Purity,0.69174,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Global,Coverage,0.77293,PyAnnote,L_R003S03C02
AISHELL-4,,3.1,Global,DER,0.28938,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Global,JER,0.39912,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Global,Purity,0.70628,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Global,Coverage,0.78737,PyAnnote,M_R003S04C01
AISHELL-4,,3.1,Global,DER,0.09754,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Global,JER,0.1985,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Global,Purity,0.93142,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Global,Coverage,0.99085,PyAnnote,L_R004S06C01
AISHELL-4,,3.1,Global,DER,0.11791,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Global,JER,0.16154,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Global,Purity,0.83301,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Global,Coverage,0.82694,PyAnnote,M_R003S02C01
AISHELL-4,,3.1,Global,DER,0.02814,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Global,JER,0.02909,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Global,Purity,0.99925,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Global,Coverage,0.99925,PyAnnote,S_R004S03C01
AISHELL-4,,3.1,Global,DER,0.36387,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Global,JER,0.44892,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Global,Purity,0.61545,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Global,Coverage,0.78808,PyAnnote,L_R003S01C02
AISHELL-4,,3.1,Global,DER,0.12247,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Global,JER,0.28311,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Global,Purity,0.83374,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Global,Coverage,0.84982,PyAnnote,L_R004S03C01
AISHELL-4,,3.1,Global,DER,0.3617,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Global,JER,0.42228,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Global,Purity,0.64939,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Global,Coverage,0.80318,PyAnnote,M_R003S05C01
AISHELL-4,,3.1,Global,DER,0.09879,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Global,JER,0.25219,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Global,Purity,0.91316,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Global,Coverage,0.9383,PyAnnote,L_R004S01C01
AISHELL-4,,3.1,Global,DER,0.12692,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Global,JER,0.18687,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Global,Purity,0.88048,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Global,Coverage,0.87829,PyAnnote,S_R003S01C01
AISHELL-4,,3.1,Global,DER,0.14303,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Global,JER,0.40997,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Global,Purity,0.8435,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Global,Coverage,0.87728,PyAnnote,L_R004S02C01
AISHELL-4,,3.1,Global,DER,0.11706,PyAnnote,S_R003S02C01
AISHELL-4,,3.1,Global,JER,0.1578,PyAnnote,S_R003S02C01
AISHELL-4,,3.1,Global,Purity,0.91669,PyAnnote,S_R003S02C01
