Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,DER,0.55961,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.79666,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.62852,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.96325,,S_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.79462,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Baseline,JER,0.89336,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.5035,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.96189,,L_R003S03C02,ecapa_ahc
AISHELL-4,,Baseline,DER,0.71719,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.86346,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.66798,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.85082,,M_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.7197,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.88809,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.45194,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.97743,,L_R004S06C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.89596,,M_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.93333,,M_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.45926,,M_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.85366,,M_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.5962,,S_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.80986,,S_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.50197,,S_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.996,,S_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.9291,,L_R003S01C02,ecapa_ahc
AISHELL-4,,Baseline,JER,0.96284,,L_R003S01C02,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.2624,,L_R003S01C02,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.99906,,L_R003S01C02,ecapa_ahc
AISHELL-4,,Baseline,DER,0.75592,,L_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.86806,,L_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.52374,,L_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.83961,,L_R004S03C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.80694,,M_R003S05C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.88365,,M_R003S05C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.59462,,M_R003S05C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.86192,,M_R003S05C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.79697,,L_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.9173,,L_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.58532,,L_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.97224,,L_R004S01C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.47384,,S_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.78486,,S_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.63401,,S_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.94296,,S_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.65872,,L_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.83222,,L_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.66281,,L_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.95017,,L_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.53401,,S_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.81586,,S_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.64268,,S_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.95504,,S_R003S02C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.90401,,M_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.89922,,M_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.45008,,M_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.91668,,M_R003S01C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.53904,,S_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.80742,,S_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.58327,,S_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.95555,,S_R004S02C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.63756,,S_R003S03C01,ecapa_ahc
